Key,File,Type,UsedInMainMenu,NoTranslate,english
ZombieINC_challenge_ExplosiveKnucles_subtitle,Quests,Quest Info,,x,"Explosive Knucles"
ZombieINC_challenge_ExplosiveKnucles_description,Quests,Quest Info,,x,"[Experimental Weapon Mission]\n\n Mission Conditions:\n\n1º: You will have 20 minutes to complete the mission\n\n2º:Kills will only count while Zombie Lure is Activated\n\n3º:Kills will only count while using the designated Weapon.\n\n[FF0000]ATTENTION:[-] Don't bring zombies to the trader area! We already have to deal with a lot of problems. Start this mission far away from the trader and stay away or you will [DECEA3]FAIL[-]."
ZombieINC_challenge_ExplosiveKnucles_offer,Quests,Quest Info,,x,"[Experimental Weapon Contract]\n\n This Mission will consist in 1 step: Kill 30 zombies.\n\nHint: Read the weapon's description and the mission's description\n\n[FF0000]ATTENTION:[-] Don't bring zombies to the trader area! We already have to deal with a lot of problems. Start this mission far away from the trader and stay away or you will [DECEA3]FAIL[-]."
ZombieINC_challenge_ExplosiveKnucles_completion,Quests,Quest Info,,x,"Congratulations! The tests that you completed were very significant. Come back later when the final version of the weapon is ready!"
ZombieINC_challenge_ExplosiveKnucles2_completion,Quests,Quest Info,,x,"The Weapon is done. Some adjustments were made.\n\nPAY ATTENTION: This weapon can only be repaired by me. You will need to buy the specific weapon part from a trader and give it to me so I can repair your weapon."
ZombieINC_challenge_ExplosiveKnucles_response,Quests,Quest Info,,x,"PlaceHolder"
ZombieINC_challenge_ExplosiveKnucles_statement,Quests,Quest Info,,x,"PlaceHolder"

ZombieINC_challenge_IceHammer_name,Quests,Quest Info,,x,"Experimental Weapon Mission"
ZombieINC_challenge_IceHammer_subtitle,Quests,Quest Info,,x,"Ice Hammer"
ZombieINC_challenge_IceHammer_description,Quests,Quest Info,,x,"[Experimental Weapon Mission]\n\n Mission Conditions:\n\n1º: You will have 20 minutes to complete the mission\n\n2º:Kills will only count while Zombie Lure is Activated\n\n3º:Kills will only count while using the designated Weapon.\n\n[FF0000]ATTENTION:[-] Don't bring zombies to the trader area! We already have to deal with a lot of problems. Start this mission far away from the trader and stay away or you will [DECEA3]FAIL[-]."
ZombieINC_challenge_IceHammer_offer,Quests,Quest Info,,x,"[Experimental Weapon Contract]\n\n This Mission will consist in 1 step: Kill 30 zombies.\n\nHint: Read the weapon's description and the mission's description.\n\n[FF0000]ATTENTION:[-] Don't bring zombies to the trader area! We already have to deal with a lot of problems. Start this mission far away from the trader and stay away or you will [DECEA3]FAIL[-]."
ZombieINC_challenge_IceHammer_completion,Quests,Quest Info,,x,"Congratulations ! The tests that you made were very significant for me. Come back later when the final version of the weapon is ready"
ZombieINC_challenge_IceHammer2_completion,Quests,Quest Info,,x,"The Weapon is done. Some adjustments were made.\n\nPAY ATTENTION: This weapon can only be repaired by me. You will need to buy the specific weapon part from a trader and give it to me so I can repair your weapon."
ZombieINC_challenge_IceHammer_response,Quests,Quest Info,,x,"PlaceHolder"
ZombieINC_challenge_IceHammer_statement,Quests,Quest Info,,x,"PlaceHolder"

ZombieINC_challenge_SpearGun_name,Quests,Quest Info,,x,"Experimental Weapon Mission"
ZombieINC_challenge_SpearGun_subtitle,Quests,Quest Info,,x,"Spear Gun"
ZombieINC_challenge_SpearGun_description,Quests,Quest Info,,x,"[Experimental Weapon Mission]\n\n Mission Conditions:\n\n1º: You will have 20 minutes to complete the mission\n\n2º:Kills will only count while Zombie Lure is Activated\n\n3º:Kills will only count while using the designated Weapon.\n\n[FF0000]ATTENTION:[-] Don't bring zombies to the trader area! We already have to deal with a lot of problems. Start this mission far away from the trader and stay away or you will [DECEA3]FAIL[-]."
ZombieINC_challenge_SpearGun_offer,Quests,Quest Info,,x,"[Experimental Weapon Contract]\n\n This Mission will consist in 2 steps:\n\n1º Kill 20 zombies with the melee mode.\n\n2º Kill 20 zombies with the range mode.\n\n Follow this order to complete the mission.\n\n Hint: Read the weapon's description and the mission's description.\n\n[FF0000]ATTENTION:[-] Don't bring zombies to the trader area! We already have to deal with a lot of problems. Start this mission far away from the trader and stay away or you will [DECEA3]FAIL[-]."
ZombieINC_challenge_SpearGun_completion,Quests,Quest Info,,x,"Congratulations ! The tests that you made were very significant for me. Come back later when the final version of the weapon is ready"
ZombieINC_challenge_SpearGun2_completion,Quests,Quest Info,,x,"The Weapon is done. Some adjustments were made.\n\nPAY ATTENTION: This weapon can only be repaired by me. You will need to buy the specific weapon part from a trader and give it to me so I can repair your weapon."
ZombieINC_challenge_SpearGun_response,Quests,Quest Info,,x,"PlaceHolder"
ZombieINC_challenge_SpearGun_statement,Quests,Quest Info,,x,"PlaceHolder"

ZombieINC_challenge_FireShockSpear_name,Quests,Quest Info,,x,"Experimental Weapon Mission"
ZombieINC_challenge_FireShockSpear_subtitle,Quests,Quest Info,,x,"Fire 'n' Shock Spear"
ZombieINC_challenge_FireShockSpear_description,Quests,Quest Info,,x,"[Experimental Weapon Mission]\n\n Mission Conditions:\n\n1º: You will have 20 minutes to complete the mission\n\n2º:Kills will only count while Zombie Lure is Activated\n\n3º:Kills will only count while using the designated Weapon.\n\n[FF0000]ATTENTION:[-] Don't bring zombies to the trader area! We already have to deal with a lot of problems. Start this mission far away from the trader and stay away or you will [DECEA3]FAIL[-]."
ZombieINC_challenge_FireShockSpear_offer,Quests,Quest Info,,x,"[Experimental Weapon Contract]\n\n This Mission will consist in 1 step: Kill 30 zombies.\n\nHint: Read the weapon's description and the mission's description.\n\n[FF0000]ATTENTION:[-] Don't bring zombies to the trader area! We already have to deal with a lot of problems. Start this mission far away from the trader and stay away or you will [DECEA3]FAIL[-]."
ZombieINC_challenge_FireShockSpear_completion,Quests,Quest Info,,x,"Congratulations ! The tests that you made were very significant for me. Come back later when the final version of the weapon is ready"
ZombieINC_challenge_FireShockSpear2_completion,Quests,Quest Info,,x,"The Weapon is done. Some adjustments were made.\n\nPAY ATTENTION: This weapon can only be repaired by me. You will need to buy the specific weapon part from a trader and give it to me so I can repair your weapon."
ZombieINC_challenge_FireShockSpear_response,Quests,Quest Info,,x,"PlaceHolder"
ZombieINC_challenge_FireShockSpear_statement,Quests,Quest Info,,x,"PlaceHolder"

ZombieINC_challenge_Nailgun_name,Quests,Quest Info,,x,"Experimental Weapon Mission"
ZombieINC_challenge_Nailgun_subtitle,Quests,Quest Info,,x,"Trader's Nailgun"
ZombieINC_challenge_Nailgun_description,Quests,Quest Info,,x,"[Experimental Weapon Mission]\n\n Mission Conditions:\n\n1º: You will have 20 minutes to complete the mission\n\n2º:Kills will only count while Zombie Lure is Activated\n\n3º:Kills will only count while using the designated Weapon.\n\n[FF0000]ATTENTION:[-] Don't bring zombies to the trader area! We already have to deal with a lot of problems. Start this mission far away from the trader and stay away or you will [DECEA3]FAIL[-]."
ZombieINC_challenge_Nailgun_offer,Quests,Quest Info,,x,"[Experimental Weapon Contract]\n\n This Mission will consist in 1 step: Kill 30 zombies.\n\nHint: Read the weapon's description and the mission's description.\n\n[FF0000]ATTENTION:[-] Don't bring zombies to the trader area! We already have to deal with a lot of problems. Start this mission far away from the trader and stay away or you will [DECEA3]FAIL[-]."
ZombieINC_challenge_Nailgun_completion,Quests,Quest Info,,x,"Congratulations ! The tests that you made were very significant for me. Come back later when the final version of the weapon is ready"
ZombieINC_challenge_Nailgun2_completion,Quests,Quest Info,,x,"The Weapon is done. Some adjustments were made.\n\nPAY ATTENTION: This weapon can only be repaired by me. You will need to buy the specific weapon part from a trader and give it to me so I can repair your weapon."
ZombieINC_challenge_Nailgun_response,Quests,Quest Info,,x,"PlaceHolder"
ZombieINC_challenge_Nailgun_statement,Quests,Quest Info,,x,"PlaceHolder"


ZombieINC_challenge_PipeMachineGun_name,Quests,Quest Info,,x,"Experimental Weapon Mission"
ZombieINC_challenge_PipeMachineGun_subtitle,Quests,Quest Info,,x,"Pipe MachineGun"
ZombieINC_challenge_PipeMachineGun_description,Quests,Quest Info,,x,"[Experimental Weapon Mission] One of our scouts has stumbled upon something intriguing that could pique your interest. It seems some eccentric individual crafted a special weapon, but now they've turned into a zombie, carrying the gun on their back. This information seems to be worth the price you're paying for it. But act swiftly, as this weapon has garnered significant attention, and competition will be fierce."
ZombieINC_challenge_PipeMachineGun_offer,Quests,Quest Info,,x,"[Experimental Weapon Mission] One of our scouts has stumbled upon something intriguing that could pique your interest. It seems some eccentric individual crafted a special weapon, but now they've turned into a zombie, carrying the gun on their back. This information seems to be worth the price you're paying for it. But act swiftly, as this weapon has garnered significant attention, and competition will be fierce."
ZombieINC_challenge_PipeMachineGun_completion,Quests,Quest Info,,x,"It seems like a flamethrower, but it is not. What a deception! Ahahahahaha! Even so, people are still very interested in this weapon, and I don't want fights around here. Whoever wants this weapon will need to [FF0000]FIGHT A BEAR RIGHT HERE[-] in front of everyone!"
ZombieINC_challenge_PipeMachineGun_response,Quests,Quest Info,,x,"PlaceHolder"
ZombieINC_challenge_PipeMachineGun_statement,Quests,Quest Info,,x,"PlaceHolder"

ZombieINC_PipeMachineGun_LootDrop,entityclasses,Entity,,x,Loot Drop

ZombieINC_Supplies_PipeMachineGun,items,item,,x,PipeMachineGun Parts


ZombieINC_WSPart2_capChimneyLargeSmoke_WeaponTestKnuclesActive,blocks,Block,,x,"Zombie Lure"
ZombieINC_WSPart2_capChimneyLargeSmoke_WeaponTestKnucles,blocks,Block,,x,"Zombie Lure"

ZombieINC_WSPart2_capChimneyLargeSmoke_WeaponTestIceHammerActive,blocks,Block,,x,"Zombie Lure"
ZombieINC_WSPart2_capChimneyLargeSmoke_WeaponTestIceHammer,blocks,Block,,x,"Zombie Lure"

ZombieINC_WSPart2_capChimneyLargeSmoke_WeaponTestNailgunActive,blocks,Block,,x,"Zombie Lure"
ZombieINC_WSPart2_capChimneyLargeSmoke_WeaponTestNailgun,blocks,Block,,x,"Zombie Lure"

ZombieINC_WSPart2_capChimneyLargeSmoke_WeaponTestFireShockSpearActive,blocks,Block,,x,"Zombie Lure"
ZombieINC_WSPart2_capChimneyLargeSmoke_WeaponTestFireShockSpear,blocks,Block,,x,"Zombie Lure"

ZombieINC_WSPart2_capChimneyLargeSmoke_WeaponTestSpearGunActive,blocks,Block,,x,"Zombie Lure"
ZombieINC_WSPart2_capChimneyLargeSmoke_WeaponTestSpearGun,blocks,Block,,x,"Zombie Lure"


ZombieINC_WSPart2_FailIfOnTrader_ChatMessage,gameevents,,,X,"| [FF6600]GAME:[-] Don't forget, the mission will fail if you attract zombie to the Trader Area !"

ZombieINC_NoTraderNearbyChatMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] There is no Trader nearby"
ZombieINC_NoTraderNearbyBeltTooltip,gameevents,,,X,"No Trader Nearby"





ZombieINC_resourceRepairKitMelee,items,item,,x,"Spear Gun Parts (Melee)"
ZombieINC_resourceRepairKitMeleeDesc,items,item,,x,"[Weapon Parts] Only the trader has the skills to repair the experimental weapons. Use this item near a trader the repair the respective weapon"

ZombieINC_resourceRepairKitRanged,items,item,,x,"Spear Gun Parts (Ranged)"
ZombieINC_resourceRepairKitRangedDesc,items,item,,x,"[Weapon Parts] Only the trader has the skills to repair the experimental weapons. Use this item near a trader the repair the respective weapon"

ZombieINC_ExplosiveKnucles_resourceRepairKit,items,item,,x,"Explosive Knucles Parts"
ZombieINC_ExplosiveKnucles_resourceRepairKitDesc,items,item,,x,"[Weapon Parts] Only the trader has the skills to repair the experimental weapons. Use this item near a trader the repair the respective weapon"

ZombieINC_PipeMachineGun_resourceRepairKit,items,item,,x,"PipeMachineGun Parts"
ZombieINC_PipeMachineGun_resourceRepairKitDesc,items,item,,x,"[Weapon Parts] Only the trader has the skills to repair the experimental weapons. Use this item near a trader the repair the respective weapon"


ZombieINC_IceHammer_resourceRepairKit,items,item,,x,"Ice Hammer Parts"
ZombieINC_IceHammer_resourceRepairKitDesc,items,item,,x,"[Weapon Parts] Only the trader has the skills to repair the experimental weapons. Use this item near a trader the repair the respective weapon"

ZombieINC_Nailgun_resourceRepairKit,items,item,,x,"Nailgun Parts"
ZombieINC_Nailgun_resourceRepairKitDesc,items,item,,x,"[Weapon Parts] Only the trader has the skills to repair the experimental weapons. Use this item near a trader the repair the respective weapon"

ZombieINC_FireShockSpear_resourceRepairKit,items,item,,x,"Fire 'n' Shock Spear Parts"
ZombieINC_FireShockSpear_resourceRepairKitDesc,items,item,,x,"[Weapon Parts] Only the trader has the skills to repair the experimental weapons. Use this item near a trader the repair the respective weapon"


ZombieINC_Quest_SteelKnuckles,items,item,,x,"[Experimental Weapon] Explosive Knucles"
ZombieINC_Quest_SteelKnuckles_Desc,items,item,,x,"[Experimental Weapon Mission]\n\n Mission Conditions:\n\n1º: You will have 20 minutes to complete the mission\n\n2º:Kills will only count while Zombie Lure is Activated\n\n3º:Kills will only count while using the designated Weapon."

ZombieINC_Quest_SpearGun,items,item,,x,"[Experimental Weapon] Spear Gun"
ZombieINC_Quest_SpearGun_Desc,items,item,,x,"[Experimental Weapon Mission]\n\n Mission Conditions:\n\n1º: You will have 20 minutes to complete the mission\n\n2º:Kills will only count while Zombie Lure is Activated\n\n3º:Kills will only count while using the designated Weapon."

ZombieINC_Quest_IceHammer,items,item,,x,"[Experimental Weapon] Ice Hammer"
ZombieINC_Quest_IceHammer_Desc,items,item,,x,"[Experimental Weapon Mission]\n\n Mission Conditions:\n\n1º: You will have 20 minutes to complete the mission\n\n2º:Kills will only count while Zombie Lure is Activated\n\n3º:Kills will only count while using the designated Weapon."

ZombieINC_Quest_SteelSpear,items,item,,x,"[Experimental Weapon] Fire 'n' Shock Spear"
ZombieINC_Quest_SteelSpear_Desc,items,item,,x,"[Experimental Weapon Mission]\n\n Mission Conditions:\n\n1º: You will have 20 minutes to complete the mission\n\n2º:Kills will only count while Zombie Lure is Activated\n\n3º:Kills will only count while using the designated Weapon."

ZombieINC_Quest_Nailgun,items,item,,x,"[Experimental Weapon] Trader's Nailgun"
ZombieINC_Quest_Nailgun_Desc,items,item,,x,"[Experimental Weapon Mission]\n\n Mission Conditions:\n\n1º: You will have 20 minutes to complete the mission\n\n2º:Kills will only count while Zombie Lure is Activated\n\n3º:Kills will only count while using the designated Weapon."



ZombieINC_Quest_PipeMachineGun,items,item,,x,"[Experimental Weapon] PipeMachineGun"
ZombieINC_Quest_PipeMachineGun_Desc,items,item,,x,"[Experimental Weapon Mission] One of our scouts has stumbled upon something intriguing that could pique your interest. It seems some eccentric individual crafted a special weapon, but now they've turned into a zombie, carrying the gun on their back. This information seems to be worth the price you're paying for it. But act swiftly, as this weapon has garnered significant attention, and competition will be fierce."

ZombieINC_Prototype_gunMGT0PipeMachineGun,items,item,,x,"Tuned Pipe Machinegun (Prototype)"
ZombieINC_Prototype_gunMGT0PipeMachineGunDesc,items,item,,x,"[Tuned Pipe Machinegun Prototype]"

ZombieINC_Prototype_meleeToolRepairT3Nailgun,items,item,,x,"Trader's Nailgun (Prototype)"
ZombieINC_Prototype_meleeToolRepairT3NailgunDesc,items,item,,x,"[Trader's Nailgun Prototype]\n\n Mouse 1 AutoFiring. Mouse 2 to concetrate fire.\n\nEvery time you Reload or stops firing the weapon gets in to cooldown.\n\nWARNING: Sometimes on reload the electric system brakes"

ZombieINC_Prototype_meleeWpnSpearT3SteelSpear,items,item,,x,"Fire 'n' Shock Spear (Prototype)"
ZombieINC_Prototype_meleeWpnSpearT3SteelSpearDesc,items,item,,x,"[Fire 'n' Shock Spear Prototype]\n\n Mouse 1 applies fire on the target. Mouse 2 applies shock on the target.\n\nPress F to turn on and off the visual effects."

ZombieINC_Prototype_meleeWpnKnucklesT3SteelKnuckles,items,item,,x,"Explosive Knuckles(Prototype)"
ZombieINC_Prototype_meleeWpnKnucklesT3SteelKnucklesDesc,items,item,,x,"[Explosive Knuckles Prototype] Use Mouse 1 to normal punch. Use Mouse 2 to explosive punch.\n\nWARNING: Use explosive punch with moderation. Don't use more than 5 time in a row.\n\nVery inefficient weapon, but with hope it can be turned into a deadly weapon."

ZombieINC_Prototype_GunSpearMelee_meleeWpnSpearT3SteelSpear,items,item,,x,"Spear Gun (Prototype)"
ZombieINC_Prototype_GunSpearMelee_meleeWpnSpearT3SteelSpearDesc,items,item,,x,"[Spear Gun Prototype]\n\n Press [F] to change weapons mode\n\nWARNING: Sometimes the range mode gets the chamber stuck"

ZombieINC_Prototype_GunSpearRanged_meleeWpnSpearT3SteelSpear,items,item,,x,"Spear Gun (Prototype)"
ZombieINC_Prototype_GunSpearRanged_meleeWpnSpearT3SteelSpearDesc,items,item,,x,"[Spear Gun Prototype]\n\n Press [F] to change weapons mode\n\nWARNING: Sometimes the range mode gets the chamber stuck"

ZombieINC_Prototype_meleeWpnSledgeT3SteelSledgehammer,items,item,,x,"Ice Hammer (Prototype)"
ZombieINC_Prototype_meleeWpnSledgeT3SteelSledgehammerDesc,items,item,,x,"[Ice Hammer Prototype]\n\n This Weapon applies cold debuffs on the targets, slowing them and dealing damage over time for 4 seconds\n\nWARNING: Sometimes the debuffs is applied on the user"

ZombieINC_Gunpowder,items,item,,x,"Gunpowder (Ammo)"

ZombieINC_gunMGT0PipeMachineGun,items,item,,x,Tuned Pipe Machinegun
ZombieINC_gunMGT0PipeMachineGunDesc,items,item,,x,"[Tuned Pipe Machinegun] The original attempt was to create a flamethrower, but the previous owner of the weapon couldn't make it work. Instead, it still functions as a regular gun, but the additional gas injected into the chamber helps to accelerate the bullet."

ZombieINC_meleeToolRepairT3Nailgun,items,item,,x,"Trader's Nailgun"
ZombieINC_meleeToolRepairT3NailgunDesc,items,item,,x,"[Trader's Nailgun]\n\n Mouse 1 AutoFiring. Mouse 2 to concetrate fire.\n\nEvery time you Reload or stops firing the weapon gets in to cooldown."


ZombieINC_meleeWpnSpearT3SteelSpear,items,item,,x,"Fire 'n' Shock Spear"
ZombieINC_meleeWpnSpearT3SteelSpearDesc,items,item,,x,"[Fire 'n' Shock Spear]\n\n Mouse 1 applies fire on the target. Mouse 2 applies shock on the target.\n\nPress F to turn on and off the visual effects."

ZombieINC_meleeWpnKnucklesT3SteelKnuckles,items,item,,x,Explosive Knuckles
ZombieINC_meleeWpnKnucklesT3SteelKnucklesDesc,items,item,,x,"[Explosive Knuckles] Use Mouse 1 to normal punch. Use Mouse 2 to explosive punch.\n\nWARNING: Use explosive punch with moderation. Don't use more than 5 time in a row.\n\n A Deadly Weapon that can brake your own arms. Be prepared to use this knucles".

ZombieINC_GunSpearMelee_meleeWpnSpearT3SteelSpear,items,item,,x,"Spear Gun (Melee)"
ZombieINC_GunSpearMelee_meleeWpnSpearT3SteelSpearDesc,items,item,,x,"[Spear Gun]\n\n Press [F] to change weapons mode"

ZombieINC_GunSpearRanged_meleeWpnSpearT3SteelSpear,items,item,,x,"Spear Gun (Ranged)"
ZombieINC_GunSpearRanged_meleeWpnSpearT3SteelSpearDesc,items,item,,x,"[Spear Gun]\n\n Press [F] to change weapons mode"

ZombieINC_meleeWpnSledgeT3SteelSledgehammer,items,item,,x,"Ice Hammer"
ZombieINC_meleeWpnSledgeT3SteelSledgehammerDesc,items,item,,x,"[Ice Hammer]\n\n This Weapon applies cold debuffs on the targets, slowing them and dealing damage over time for 4 seconds"


ZombieINC_WeaponTest_AnnotationFix1,gameevents,,,X,"You Have Received The Weapon's Recipe. Use the parts that you looted to make this masterpiece."
ZombieINC_WeaponTest_AnnotationFix1_title,Journal Tip,,,x,"Weapon Experimental Hint"
