Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,japanese,german,french
MythTwitchActionCategory_Bosses,twitch,Categories,,,Bosses,,,,
MythTwitchCooldownPreset_mythical_longer,twitch,Cooldown,,,Mythical Hardcore - Longer,, - ,,
MythTwitchCooldownPreset_mythical_shorter,twitch,Cooldown,,,Mythical Hardcore - Shorter,, - ,,
MythTwitchCooldownPreset_mythical_normal,twitch,Cooldown,,,Mythical Hardcore - Normal,, - ,,
myth_spawn_bossGrace,twitch,Actions,,,Boss: Grace,,,,
myth_spawn_bossGraceDesc,twitch,Actions,,,Spawns Grace as a boss fight,,,,
myth_spawn_bossGraceCommand,twitch,Actions,,,#here_piggy_piggy,,,,
myth_spawn_bossDoraTheExploder,twitch,Actions,,,Boss: Dora the Exploder,,,,
myth_spawn_bossDoraTheExploderDesc,twitch,Actions,,,Dora the Exploder (Demo) is spawned with Boots (spider) as a minion. Boots chases down enemies and explodes.,,,,
myth_spawn_bossDoraTheExploderCommand,twitch,Actions,,,#backpack_backpack,,,,
myth_spawn_bossTomKent,twitch,Actions,,,Boss: Tom Kent,,,,
myth_spawn_bossTomKentDesc,twitch,Actions,,,Tom Kent (Tom Clark) is spawned. The classic spider zombie is still here.,,,,
myth_spawn_bossTomKentCommand,twitch,Actions,,,#spiderman_spiderman,,,,
myth_spawn_SuperKaren,twitch,Actions,,,Boss: Super Karen,,,,
myth_spawn_SuperKarenDesc,twitch,Actions,,,"Super Karen (Darlene) spawns, consistently spawning managers (businessmen) and potentially more minions.",,,,
myth_spawn_SuperKarenCommand,twitch,Actions,,,#let_me_see_your_manager,,,,
myth_spawn_bossJoeGeneric,twitch,Actions,,,Boss: Joe Generic,,,,
myth_spawn_bossJoeGenericDesc,twitch,Actions,,,Joe Generic (Joe) spawns. He's a behemoth of an enemy to face.,,,,
myth_spawn_bossJoeGenericCommand,twitch,Actions,,,#generic_boss,,,,
myth_spawn_bossJRodicusz,twitch,Actions,,,Boss: Big Bear JRodicusz,,,,
myth_spawn_bossJRodicuszDesc,twitch,Actions,,,Big Bear Jrodicusz (Skateboarder) is spawned with bear minions. Jrodicusz cannot be killed until his bears are dead.,,,,
myth_spawn_bossJRodicuszCommand,twitch,Actions,,,#bear_master,,,,
myth_spawn_bossWotjek,twitch,Actions,,,Friendly Spawn: Wotjek,,,,
myth_spawn_bossWotjekDesc,twitch,Actions,,,Wotjek joins the army in order to ensure you survive.,,,,
myth_spawn_bossWotjekCommand,twitch,Actions,,,#bear_soldier,,,,
myth_horde_weakNormalPackCommand,twitch,Actions,,,#weak_normal_pack,,,,
myth_horde_weakNormalPack,twitch,Actions,,,Weak Normal Pack,,,,
myth_horde_weakNormalPackDesc,twitch,Actions,,,A small group of weak normal zombies.,,,,
myth_horde_weakNormalSquadCommand,twitch,Actions,,,#weak_normal_squad,,,,
myth_horde_weakNormalSquad,twitch,Actions,,,Weak Normal Squad,,,,
myth_horde_weakNormalSquadDesc,twitch,Actions,,,A group of weak normal zombies.,,,,
myth_horde_weakNormalThrongCommand,twitch,Actions,,,#weak_normal_throng,,,,
myth_horde_weakNormalThrong,twitch,Actions,,,Weak Normal Throng,,,,
myth_horde_weakNormalThrongDesc,twitch,Actions,,,A large group of weak normal zombies.,,,,
myth_horde_toughNormalPackCommand,twitch,Actions,,,#tough_normal_pack,,,,
myth_horde_toughNormalPack,twitch,Actions,,,Tough Normal Pack,,,,
myth_horde_toughNormalPackDesc,twitch,Actions,,,A small group of tough normal zombies.,,,,
myth_horde_toughNormalSquadCommand,twitch,Actions,,,#tough_normal_squad,,,,
myth_horde_toughNormalSquad,twitch,Actions,,,Tough Normal Squad,,,,
myth_horde_toughNormalSquadDesc,twitch,Actions,,,A group of tough normal zombies.,,,,
myth_horde_toughNormalThrongCommand,twitch,Actions,,,#tough_normal_throng,,,,
myth_horde_toughNormalThrong,twitch,Actions,,,Tough Normal Throng,,,,
myth_horde_toughNormalThrongDesc,twitch,Actions,,,A large group of tough normal zombies.,,,,
myth_horde_stalkerNormalPackCommand,twitch,Actions,,,#stalker_normal_pack,,,,
myth_horde_stalkerNormalPack,twitch,Actions,,,Stalker Normal Pack,,,,
myth_horde_stalkerNormalPackDesc,twitch,Actions,,,A small group of stalker normal zombies.,,,,
myth_horde_stalkerNormalSquadCommand,twitch,Actions,,,#stalker_normal_squad,,,,
myth_horde_stalkerNormalSquad,twitch,Actions,,,Stalker Normal Squad,,,,
myth_horde_stalkerNormalSquadDesc,twitch,Actions,,,A group of stalker normal zombies.,,,,
myth_horde_stalkerNormalThrongCommand,twitch,Actions,,,#stalker_normal_throng,,,,
myth_horde_stalkerNormalThrong,twitch,Actions,,,Stalker Normal Throng,,,,
myth_horde_stalkerNormalThrongDesc,twitch,Actions,,,A large group of stalker normal zombies.,,,,
myth_spawn_scoutNormal,twitch,Actions,,,Spawn Scout Normal,,,,
myth_spawn_scoutNormalCommand,twitch,Actions,,,#spawn_scout,,,,
myth_spawn_scoutNormalDesc,twitch,Actions,,,Spawns a normal scout which will spawn more enemies as time goes on.,,,,
myth_horde_scoutNormalPack,twitch,Actions,,,Spawn Scout Pack,,,,
myth_horde_scoutNormalPackCommand,twitch,Actions,,,#scout_normal_pack,,,,
myth_horde_scoutNormalPackDesc,twitch,Actions,,,Spawns a normal scout which will spawn more enemies as time goes on.,,,,
myth_horde_weakFeralPackCommand,twitch,Actions,,,#weak_feral_pack,,,,
myth_horde_weakFeralPack,twitch,Actions,,,Weak Feral Pack,,,,
myth_horde_weakFeralPackDesc,twitch,Actions,,,A small group of weak feral zombies.,,,,
myth_horde_weakFeralSquadCommand,twitch,Actions,,,#weak_feral_squad,,,,
myth_horde_weakFeralSquad,twitch,Actions,,,Weak Feral Squad,,,,
myth_horde_weakFeralSquadDesc,twitch,Actions,,,A group of weak feral zombies.,,,,
myth_horde_weakFeralThrongCommand,twitch,Actions,,,#weak_feral_throng,,,,
myth_horde_weakFeralThrong,twitch,Actions,,,Weak Feral Throng,,,,
myth_horde_weakFeralThrongDesc,twitch,Actions,,,A large group of weak feral zombies.,,,,
myth_horde_toughFeralPackCommand,twitch,Actions,,,#tough_feral_pack,,,,
myth_horde_toughFeralPack,twitch,Actions,,,Tough Feral Pack,,,,
myth_horde_toughFeralPackDesc,twitch,Actions,,,A small group of tough feral zombies.,,,,
myth_horde_toughFeralSquadCommand,twitch,Actions,,,#tough_feral_squad,,,,
myth_horde_toughFeralSquad,twitch,Actions,,,Tough Feral Squad,,,,
myth_horde_toughFeralSquadDesc,twitch,Actions,,,A group of tough feral zombies.,,,,
myth_horde_toughFeralThrongCommand,twitch,Actions,,,#tough_feral_throng,,,,
myth_horde_toughFeralThrong,twitch,Actions,,,Tough Feral Throng,,,,
myth_horde_toughFeralThrongDesc,twitch,Actions,,,A large group of tough feral zombies.,,,,
myth_horde_stalkerFeralPackCommand,twitch,Actions,,,#stalker_feral_pack,,,,
myth_horde_stalkerFeralPack,twitch,Actions,,,Stalker Feral Pack,,,,
myth_horde_stalkerFeralPackDesc,twitch,Actions,,,A small group of stalker feral zombies.,,,,
myth_horde_stalkerFeralSquadCommand,twitch,Actions,,,#stalker_feral_squad,,,,
myth_horde_stalkerFeralSquad,twitch,Actions,,,Stalker Feral Squad,,,,
myth_horde_stalkerFeralSquadDesc,twitch,Actions,,,A group of stalker feral zombies.,,,,
myth_horde_stalkerFeralThrongCommand,twitch,Actions,,,#stalker_feral_throng,,,,
myth_horde_stalkerFeralThrong,twitch,Actions,,,Stalker Feral Throng,,,,
myth_horde_stalkerFeralThrongDesc,twitch,Actions,,,A large group of stalker feral zombies.,,,,
myth_horde_hunterFeralPackCommand,twitch,Actions,,,#hunter_feral_pack,,,,
myth_horde_hunterFeralPack,twitch,Actions,,,Hunter Feral Pack,,,,
myth_horde_hunterFeralPackDesc,twitch,Actions,,,A small group of hunter feral zombies.,,,,
myth_horde_hunterFeralSquadCommand,twitch,Actions,,,#hunter_feral_squad,,,,
myth_horde_hunterFeralSquad,twitch,Actions,,,Hunter Feral Squad,,,,
myth_horde_hunterFeralSquadDesc,twitch,Actions,,,A group of hunter feral zombies.,,,,
myth_horde_hunterFeralThrongCommand,twitch,Actions,,,#hunter_feral_throng,,,,
myth_horde_hunterFeralThrong,twitch,Actions,,,Hunter Feral Throng,,,,
myth_horde_hunterFeralThrongDesc,twitch,Actions,,,A large group of hunter feral zombies.,,,,
myth_spawn_stalkerFeral,twitch,Actions,,,Spawn Stalker Feral,,,,
myth_spawn_stalkerFeralCommand,twitch,Actions,,,#spawn_stalker_feral,,,,
myth_spawn_stalkerFeralDesc,twitch,Actions,,,Spawns a feral stalker which hunts down the living with boosted senses and/or mobility.
myth_spawn_stalkerRad,twitch,Actions,,,Spawn Stalker Rad,,,,
myth_spawn_stalkerRadCommand,twitch,Actions,,,#spawn_stalker_rad,,,,
myth_spawn_stalkerRadDesc,twitch,Actions,,,Spawns a rad stalker which hunts down the living with boosted senses and/or mobility.
myth_spawn_scoutFeral,twitch,Actions,,,Spawn Scout Feral,,,,
myth_spawn_scoutFeralCommand,twitch,Actions,,,#spawn_scout_feral,,,,
myth_spawn_scoutFeralDesc,twitch,Actions,,,Spawns a feral scout which will spawn more enemies as time goes on.,,,,
myth_horde_weakRadPackCommand,twitch,Actions,,,#weak_rad_pack,,,,
myth_horde_weakRadPack,twitch,Actions,,,Weak Rad Pack,,,,
myth_horde_weakRadPackDesc,twitch,Actions,,,A small group of weak rad zombies.,,,,
myth_horde_weakRadSquadCommand,twitch,Actions,,,#weak_rad_squad,,,,
myth_horde_weakRadSquad,twitch,Actions,,,Weak Rad Squad,,,,
myth_horde_weakRadSquadDesc,twitch,Actions,,,A group of weak rad zombies.,,,,
myth_horde_weakRadThrongCommand,twitch,Actions,,,#weak_rad_throng,,,,
myth_horde_weakRadThrong,twitch,Actions,,,Weak Rad Throng,,,,
myth_horde_weakRadThrongDesc,twitch,Actions,,,A large group of weak rad zombies.,,,,
myth_horde_toughRadPackCommand,twitch,Actions,,,#tough_rad_pack,,,,
myth_horde_toughRadPack,twitch,Actions,,,Tough Rad Pack,,,,
myth_horde_toughRadPackDesc,twitch,Actions,,,A small group of tough rad zombies.,,,,
myth_horde_toughRadSquadCommand,twitch,Actions,,,#tough_rad_squad,,,,
myth_horde_toughRadSquad,twitch,Actions,,,Tough Rad Squad,,,,
myth_horde_toughRadSquadDesc,twitch,Actions,,,A group of tough rad zombies.,,,,
myth_horde_toughRadThrongCommand,twitch,Actions,,,#tough_rad_throng,,,,
myth_horde_toughRadThrong,twitch,Actions,,,Tough Rad Throng,,,,
myth_horde_toughRadThrongDesc,twitch,Actions,,,A large group of tough rad zombies.,,,,
myth_horde_stalkerRadPackCommand,twitch,Actions,,,#stalker_rad_pack,,,,
myth_horde_stalkerRadPack,twitch,Actions,,,Stalker Rad Pack,,,,
myth_horde_stalkerRadPackDesc,twitch,Actions,,,A small group of stalker rad zombies.,,,,
myth_horde_stalkerRadSquadCommand,twitch,Actions,,,#stalker_rad_squad,,,,
myth_horde_stalkerRadSquad,twitch,Actions,,,Stalker Rad Squad,,,,
myth_horde_stalkerRadSquadDesc,twitch,Actions,,,A group of stalker rad zombies.,,,,
myth_horde_stalkerRadThrongCommand,twitch,Actions,,,#stalker_rad_throng,,,,
myth_horde_stalkerRadThrong,twitch,Actions,,,Stalker Rad Throng,,,,
myth_horde_stalkerRadThrongDesc,twitch,Actions,,,A large group of stalker rad zombies.,,,,
myth_horde_hunterRadPackCommand,twitch,Actions,,,#hunter_rad_pack,,,,
myth_horde_hunterRadPack,twitch,Actions,,,Hunter Rad Pack,,,,
myth_horde_hunterRadPackDesc,twitch,Actions,,,A small group of hunter rad zombies.,,,,
myth_horde_hunterRadSquadCommand,twitch,Actions,,,#hunter_rad_squad,,,,
myth_horde_hunterRadSquad,twitch,Actions,,,Hunter Rad Squad,,,,
myth_horde_hunterRadSquadDesc,twitch,Actions,,,A group of hunter rad zombies.,,,,
myth_horde_hunterRadThrongCommand,twitch,Actions,,,#hunter_rad_throng,,,,
myth_horde_hunterRadThrong,twitch,Actions,,,Hunter Rad Throng,,,,
myth_horde_hunterRadThrongDesc,twitch,Actions,,,A large group of hunter rad zombies.,,,,
myth_spawn_scoutRad,twitch,Actions,,,Spawn Scout Rad,,,,
myth_spawn_scoutRadCommand,twitch,Actions,,,#spawn_scout,,,,
myth_spawn_scoutRadDesc,twitch,Actions,,,Spawns a rad scout which will spawn more enemies as time goes on.,,,,
myth_horde_scoutRadPack,twitch,Actions,,,Spawn Scout Rad Pack,,,,
myth_horde_scoutRadPackCommand,twitch,Actions,,,#scout_rad_pack,,,,
myth_horde_scoutRadPackDesc,twitch,Actions,,,Spawns a rad scout which will spawn more enemies as time goes on.,,,,
myth_scare_tough_feral_throng,twitch,Actions,,,Scare: Tough Feral Throng,,,,
myth_scare_weak_feral_throng,twitch,Actions,,,Scare: Weak Feral Throng,,,,
myth_scare_tough_throng,twitch,Actions,,,Scare: Tough Throng,,,,
myth_scare_weak_throng,twitch,Actions,,,Scare: Weak Throng,,,,
myth_scare_vulture_wake,twitch,Actions,,,Scare: Vulture Wake,,,,
myth_scare_tough_feral_throngDesc,twitch,Actions,,,Spawns a large tough feral horde only for it to despawn seconds later.,,,,
myth_scare_weak_feral_throngDesc,twitch,Actions,,,Spawns a large weak feral horde only for it to despawn seconds later.,,,,
myth_scare_tough_throngDesc,twitch,Actions,,,Spawns a large tough normal horde only for it to despawn seconds later.,,,,
myth_scare_weak_throngDesc,twitch,Actions,,,Spawns a large weak normal horde only for it to despawn seconds later.,,,,
myth_scare_vulture_wakeDesc,twitch,Actions,,,Spawns a horde of vultures only for it to despawn seconds later.,,,,
myth_scare_tough_feral_throngCommand,twitch,Actions,,,#scare_tough_feral_throng,,,,
myth_scare_weak_feral_throngCommand,twitch,Actions,,,#scare_weak_feral_throng,,,,
myth_scare_tough_throngCommand,twitch,Actions,,,#scare_tough_throng,,,,
myth_scare_weak_throngCommand,twitch,Actions,,,#scare_weak_throng,,,,
myth_scare_vulture_wakeCommand,twitch,Actions,,,#scare_vulture_wake,,,,
myth_horde_scoutFeralPack,twitch,Actions,,,Spawn Scout FeralPack,,,,
myth_horde_scoutFeralPackCommand,twitch,Actions,,,#scout_feral_pack,,,,
myth_horde_scoutFeralPackDesc,twitch,Actions,,,Spawns a feral scout which will spawn more enemies as time goes on.,,,,
myth_tooltip_grace,entityclasses,Entity,,,Here piggy piggy,,,,
myth_toolbelt_dora,entityclasses,Entity,,,Come on! Vamanos!,,,,
myth_tooltip_flexx,entityclasses,Entity,,,Flexxing on everyone. Don't let her touch you.,,,,
myth_tooltip_tomKent,entityclasses,Entity,,,The classic spiderman is back.,,,,
myth_tooltip_joeGeneric,entityclasses,Entity,,,This guy is as tough as a behemoth.,,,,
myth_tooltip_superKaren,entityclasses,Entity,,,Let me see your MANAGERS!!!!,,,,
myth_spawn_stalkerNormal,twitch,Actions,,,Spawn Stalker Feral,,,,
myth_spawn_stalkerNormalCommand,twitch,Actions,,,#spawn_stalker_feral,,,,
myth_spawn_stalkerNormalDesc,twitch,Actions,,,Spawns a feral stalker which hunts down the living with boosted senses and/or mobility.
myth_horde_hunterNormalPackCommand,twitch,Actions,,,#hunter_normal_pack,,,,
myth_horde_hunterNormalPack,twitch,Actions,,,hunter Normal Pack,,,,
myth_horde_hunterNormalPackDesc,twitch,Actions,,,A small group of hunter normal zombies.,,,,
myth_horde_hunterNormalSquadCommand,twitch,Actions,,,#hunter_normal_squad,,,,
myth_horde_hunterNormalSquad,twitch,Actions,,,hunter Normal Squad,,,,
myth_horde_hunterNormalSquadDesc,twitch,Actions,,,A group of hunter normal zombies.,,,,
myth_horde_hunterNormalThrongCommand,twitch,Actions,,,#hunter_normal_throng,,,,
myth_horde_hunterNormalThrong,twitch,Actions,,,hunter Normal Throng,,,,
myth_horde_hunterNormalThrongDesc,twitch,Actions,,,A large group of hunter normal zombies.,,,,
myth_spawn_hunterFeral,twitch,Actions,,,Spawn hunter Feral,,,,
myth_spawn_hunterFeralCommand,twitch,Actions,,,#spawn_hunter_feral,,,,
myth_spawn_hunterFeralDesc,twitch,Actions,,,Spawns a feral hunter which hunts down the living with boosted senses and/or mobility.
myth_spawn_hunterRad,twitch,Actions,,,Spawn hunter Rad,,,,
myth_spawn_hunterRadCommand,twitch,Actions,,,#spawn_hunter_rad,,,,
myth_spawn_hunterRadDesc,twitch,Actions,,,Spawns a rad hunter which hunts down the living with boosted senses and/or mobility
myth_horde_weakElitePackCommand,twitch,Actions,,,#weak_elite_pack,,,,
myth_horde_weakElitePack,twitch,Actions,,,Weak Elite Pack,,,,
myth_horde_weakElitePackDesc,twitch,Actions,,,A small group of weak Elite zombies.,,,,
myth_horde_weakEliteSquadCommand,twitch,Actions,,,#weak_elite_squad,,,,
myth_horde_weakEliteSquad,twitch,Actions,,,Weak Elite Squad,,,,
myth_horde_weakEliteSquadDesc,twitch,Actions,,,A group of weak Elite zombies.,,,,
myth_horde_weakEliteThrongCommand,twitch,Actions,,,#weak_elite_throng,,,,
myth_horde_weakEliteThrong,twitch,Actions,,,Weak Elite Throng,,,,
myth_horde_weakEliteThrongDesc,twitch,Actions,,,A large group of weak Elite zombies.,,,,
myth_horde_toughElitePackCommand,twitch,Actions,,,#tough_elite_pack,,,,
myth_horde_toughElitePack,twitch,Actions,,,Tough Elite Pack,,,,
myth_horde_toughElitePackDesc,twitch,Actions,,,A small group of tough Elite zombies.,,,,
myth_horde_toughEliteSquadCommand,twitch,Actions,,,#tough_elite_squad,,,,
myth_horde_toughEliteSquad,twitch,Actions,,,Tough Elite Squad,,,,
myth_horde_toughEliteSquadDesc,twitch,Actions,,,A group of tough Elite zombies.,,,,
myth_horde_toughEliteThrongCommand,twitch,Actions,,,#tough_elite_throng,,,,
myth_horde_toughEliteThrong,twitch,Actions,,,Tough Elite Throng,,,,
myth_horde_toughEliteThrongDesc,twitch,Actions,,,A large group of tough Elite zombies.,,,,
myth_horde_stalkerElitePackCommand,twitch,Actions,,,#stalker_elite_pack,,,,
myth_horde_stalkerElitePack,twitch,Actions,,,Stalker Elite Pack,,,,
myth_horde_stalkerElitePackDesc,twitch,Actions,,,A small group of stalker Elite zombies.,,,,
myth_horde_stalkerEliteSquadCommand,twitch,Actions,,,#stalker_elite_squad,,,,
myth_horde_stalkerEliteSquad,twitch,Actions,,,Stalker Elite Squad,,,,
myth_horde_stalkerEliteSquadDesc,twitch,Actions,,,A group of stalker Elite zombies.,,,,
myth_horde_stalkerEliteThrongCommand,twitch,Actions,,,#stalker_elite_throng,,,,
myth_horde_stalkerEliteThrong,twitch,Actions,,,Stalker Elite Throng,,,,
myth_horde_stalkerEliteThrongDesc,twitch,Actions,,,A large group of stalker Elite zombies.,,,,
myth_horde_hunterElitePackCommand,twitch,Actions,,,#hunter_elite_pack,,,,
myth_horde_hunterElitePack,twitch,Actions,,,Hunter Elite Pack,,,,
myth_horde_hunterElitePackDesc,twitch,Actions,,,A small group of hunter Elite zombies.,,,,
myth_horde_hunterEliteSquadCommand,twitch,Actions,,,#hunter_elite_squad,,,,
myth_horde_hunterEliteSquad,twitch,Actions,,,Hunter Elite Squad,,,,
myth_horde_hunterEliteSquadDesc,twitch,Actions,,,A group of hunter Elite zombies.,,,,
myth_horde_hunterEliteThrongCommand,twitch,Actions,,,#hunter_elite_throng,,,,
myth_horde_hunterEliteThrong,twitch,Actions,,,Hunter Elite Throng,,,,
myth_horde_hunterEliteThrongDesc,twitch,Actions,,,A large group of hunter Elite zombies.,,,,
myth_horde_scoutElitePack,twitch,Actions,,,Spawn Scout Elite Pack,,,,
myth_horde_scoutElitePackCommand,twitch,Actions,,,#scout_elite_pack,,,,
myth_horde_scoutElitePackDesc,twitch,Actions,,,Spawns a elite scout which will spawn more enemies as time goes on.,,,,

hoh_tooltip_forrestboss,entityclasses,Entity,,,Boss of the sticks.,,,,
hoh_tooltip_burntforrestboss,entityclasses,Entity,,,Fuck it burn it all down.,,,,
hoh_tooltip_Desertboss,entityclasses,Entity,,,Screw the sand storm.,,,,
hoh_tooltip_Snowboss,entityclasses,Entity,,,You done pissed the wife off.,,,,
hoh_tooltip_WasteLandboss,entityclasses,Entity,,,They cumin to melt your face.,,,,
TwitchEventChannelPointBunny,twitch,Events,,,Spawn Bunny from Hell,,,,
TwitchEventChannelPointBunnyTitle,twitch,Events,,,7DTD: Hell Bunny,,,,
