Key,Source,Context,Changes,English,NoTranslate
commercialDoorV1Red_LtD,blocks,block,new,"Red Commercial Door V1",
commercialDoorV1Orange_LtD,blocks,block,new,"Orange Commercial Door V1",
commercialDoorV1Yellow_LtD,blocks,block,new,"Yellow Commercial Door V1",
commercialDoorV1Green_LtD,blocks,block,new,"Green Commercial Door V1",
commercialDoorV1Blue_LtD,blocks,block,new,"Blue Commercial Door V1",
commercialDoorV1Purple_LtD,blocks,block,new,"Purple Commercial Door V1",
commercialDoorV1Grey_LtD,blocks,block,new,"Grey Commercial Door V1",
commercialDoorV1Pink_LtD,blocks,block,new,"Pink Commercial Door V1",
commercialDoorV1Oak_LtD,blocks,block,new,"Oak Commercial Door V1",
commercialDoorV1BlockVariantHelper_LtD,blocks,block,new,"Commercial Door V1",
commercialDoorDoubleV1White_LtD,blocks,block,new,"White Commercial Double Door V1",
commercialDoorDoubleV1Brown_LtD,blocks,block,new,"Brown Commercial Double Door V1",
commercialDoorDoubleV1Red_LtD,blocks,block,new,"Red Commercial Double Door V1",
commercialDoorDoubleV1Orange_LtD,blocks,block,new,"Orange Commercial Double Door V1",
commercialDoorDoubleV1Yellow_LtD,blocks,block,new,"Yellow Commercial Double Door V1",
commercialDoorDoubleV1Green_LtD,blocks,block,new,"Green Commercial Double Door V1",
commercialDoorDoubleV1Blue_LtD,blocks,block,new,"Blue Commercial Double Door V1",
commercialDoorDoubleV1Purple_LtD,blocks,block,new,"Purple Commercial Double Door V1",
commercialDoorDoubleV1Grey_LtD,blocks,block,new,"Grey Commercial Double Door V1",
commercialDoorDoubleV1Pink_LtD,blocks,block,new,"Pink Commercial Double Door V1",
commercialDoorDoubleV1Oak_LtD,blocks,block,new,"Oak Commercial Double Door V1",
commercialDoorDoubleV1BlockVariantHelper_LtD,blocks,block,new,"Commercial Double Door V1",
commercialDoorV2White_LtD,blocks,block,new,"White Commercial Door V2",
commercialDoorV2Brown_LtD,blocks,block,new,"Brown Commercial Door V2",
commercialDoorV2Red_LtD,blocks,block,new,"Red Commercial Door V2",
commercialDoorV2Orange_LtD,blocks,block,new,"Orange Commercial Door V2",
commercialDoorV2Yellow_LtD,blocks,block,new,"Yellow Commercial Door V2",
commercialDoorV2Green_LtD,blocks,block,new,"Green Commercial Door V2",
commercialDoorV2Blue_LtD,blocks,block,new,"Blue Commercial Door V2",
commercialDoorV2Purple_LtD,blocks,block,new,"Purple Commercial Door V2",
commercialDoorV2Grey_LtD,blocks,block,new,"Grey Commercial Door V2",
commercialDoorV2Pink_LtD,blocks,block,new,"Pink Commercial Door V2",
commercialDoorV2Oak_LtD,blocks,block,new,"Oak Commercial Door V2",
commercialDoorV2BlockVariantHelper_LtD,blocks,block,new,"Commercial Door V2",
commercialDoorDoubleV2White_LtD,blocks,block,new,"White Commercial Double Door V2",
commercialDoorDoubleV2Brown_LtD,blocks,block,new,"Brown Commercial Double Door V2",
commercialDoorDoubleV2Red_LtD,blocks,block,new,"Red Commercial Double Door V2",
commercialDoorDoubleV2Orange_LtD,blocks,block,new,"Orange Commercial Double Door V2",
commercialDoorDoubleV2Yellow_LtD,blocks,block,new,"Yellow Commercial Double Door V2",
commercialDoorDoubleV2Green_LtD,blocks,block,new,"Green Commercial Double Door V2",
commercialDoorDoubleV2Blue_LtD,blocks,block,new,"Blue Commercial Double Door V2",
commercialDoorDoubleV2Purple_LtD,blocks,block,new,"Purple Commercial Double Door V2",
commercialDoorDoubleV2Grey_LtD,blocks,block,new,"Grey Commercial Double Door V2",
commercialDoorDoubleV2Pink_LtD,blocks,block,new,"Pink Commercial Double Door V2",
commercialDoorDoubleV2Oak_LtD,blocks,block,new,"Oak Commercial Double Door V2",
commercialDoorDoubleV2BlockVariantHelper_LtD,blocks,block,new,"Commercial Double Door V2",
commercialDoorV3White_LtD,blocks,block,new,"White Commercial Door V3",
commercialDoorV3Brown_LtD,blocks,block,new,"Brown Commercial Door V3",
commercialDoorV3Red_LtD,blocks,block,new,"Red Commercial Door V3",
commercialDoorV3Orange_LtD,blocks,block,new,"Orange Commercial Door V3",
commercialDoorV3Yellow_LtD,blocks,block,new,"Yellow Commercial Door V3",
commercialDoorV3Green_LtD,blocks,block,new,"Green Commercial Door V3",
commercialDoorV3Blue_LtD,blocks,block,new,"Blue Commercial Door V3",
commercialDoorV3Purple_LtD,blocks,block,new,"Purple Commercial Door V3",
commercialDoorV3Grey_LtD,blocks,block,new,"Grey Commercial Door V3",
commercialDoorV3Pink_LtD,blocks,block,new,"Pink Commercial Door V3",
commercialDoorV3Oak_LtD,blocks,block,new,"Oak Commercial Door V3",
commercialDoorV3BlockVariantHelper_LtD,blocks,block,new,"Commercial Door V3",
commercialDoorDoubleV3White_LtD,blocks,block,new,"White Commercial Double Door V3",
commercialDoorDoubleV3Brown_LtD,blocks,block,new,"Brown Commercial Double Door V3",
commercialDoorDoubleV3Red_LtD,blocks,block,new,"Red Commercial Double Door V3",
commercialDoorDoubleV3Orange_LtD,blocks,block,new,"Orange Commercial Double Door V3",
commercialDoorDoubleV3Yellow_LtD,blocks,block,new,"Yellow Commercial Double Door V3",
commercialDoorDoubleV3Green_LtD,blocks,block,new,"Green Commercial Double Door V3",
commercialDoorDoubleV3Blue_LtD,blocks,block,new,"Blue Commercial Double Door V3",
commercialDoorDoubleV3Purple_LtD,blocks,block,new,"Purple Commercial Double Door V3",
commercialDoorDoubleV3Grey_LtD,blocks,block,new,"Grey Commercial Double Door V3",
commercialDoorDoubleV3Pink_LtD,blocks,block,new,"Pink Commercial Double Door V3",
commercialDoorDoubleV3Oak_LtD,blocks,block,new,"Oak Commercial Double Door V3",
commercialDoorDoubleV3BlockVariantHelper_LtD,blocks,block,new,"Commercial Double Door V3",
commercialDoorV4White_LtD,blocks,block,new,"White Commercial Door V4",
commercialDoorV4Brown_LtD,blocks,block,new,"Brown Commercial Door V4",
commercialDoorV4Red_LtD,blocks,block,new,"Red Commercial Door V4",
commercialDoorV4Orange_LtD,blocks,block,new,"Orange Commercial Door V4",
commercialDoorV4Yellow_LtD,blocks,block,new,"Yellow Commercial Door V4",
commercialDoorV4Green_LtD,blocks,block,new,"Green Commercial Door V4",
commercialDoorV4Blue_LtD,blocks,block,new,"Blue Commercial Door V4",
commercialDoorV4Purple_LtD,blocks,block,new,"Purple Commercial Door V4",
commercialDoorV4Grey_LtD,blocks,block,new,"Grey Commercial Door V4",
commercialDoorV4Pink_LtD,blocks,block,new,"Pink Commercial Door V4",
commercialDoorV4Oak_LtD,blocks,block,new,"Oak Commercial Door V4",
commercialDoorV4BlockVariantHelper_LtD,blocks,block,new,"Commercial Door V4",
commercialDoorDoubleV4White_LtD,blocks,block,new,"White Commercial Double Door V4",
commercialDoorDoubleV4Brown_LtD,blocks,block,new,"Brown Commercial Double Door V4",
commercialDoorDoubleV4Red_LtD,blocks,block,new,"Red Commercial Double Door V4",
commercialDoorDoubleV4Orange_LtD,blocks,block,new,"Orange Commercial Double Door V4",
commercialDoorDoubleV4Yellow_LtD,blocks,block,new,"Yellow Commercial Double Door V4",
commercialDoorDoubleV4Green_LtD,blocks,block,new,"Green Commercial Double Door V4",
commercialDoorDoubleV4Blue_LtD,blocks,block,new,"Blue Commercial Double Door V4",
commercialDoorDoubleV4Purple_LtD,blocks,block,new,"Purple Commercial Double Door V4",
commercialDoorDoubleV4Grey_LtD,blocks,block,new,"Grey Commercial Double Door V4",
commercialDoorDoubleV4Pink_LtD,blocks,block,new,"Pink Commercial Double Door V4",
commercialDoorDoubleV4Oak_LtD,blocks,block,new,"Oak Commercial Double Door V4",
commercialDoorDoubleV4BlockVariantHelper_LtD,blocks,block,new,"Commercial Double Door V4",
elevatorDoor_LtD,blocks,block,new,"Elevator Door",
elevatorDoorTenthBlock_LtD,blocks,block,new,"Elevator Door (Centered)",
elevatorDoorDouble_LtD,blocks,block,new,"Elevator Double Door",
elevatorDoor_Powered_LtD,blocks,block,new,"Elevator Door (Powered)",
elevatorDoorTenthBlock_Powered_LtD,blocks,block,new,"Elevator Door Centered (Powered)",
elevatorDoorDouble_Powered_LtD,blocks,block,new,"Elevator Double Door (Powered)",
jailBarsWhite_LtD,blocks,block,new,"White Jail Bars",
jailBarsBrown_LtD,blocks,block,new,"Brown Jail Bars",
jailBarsRed_LtD,blocks,block,new,"Red Jail Bars",
jailBarsOrange_LtD,blocks,block,new,"Orange Jail Bars",
jailBarsYellow_LtD,blocks,block,new,"Yellow Jail Bars",
jailBarsGreen_LtD,blocks,block,new,"Green Jail Bars",
jailBarsBlue_LtD,blocks,block,new,"Blue Jail Bars",
jailBarsPurple_LtD,blocks,block,new,"Purple Jail Bars",
jailBarsGrey_LtD,blocks,block,new,"Grey Jail Bars",
jailBarsBlack_LtD,blocks,block,new"Black Jail Bars",
jailBarsBlockVariantHelper_LtD,blocks,block,new,"Jail Bars",
jailDoorWhite_LtD,blocks,block,new,"White Jail Door",
jailDoorBrown_LtD,blocks,block,new,"Brown Jail Door",
jailDoorRed_LtD,blocks,block,new,"Red Jail Door",
jailDoorOrange_LtD,blocks,block,new,"Orange Jail Door",
