Key,Source,Context,Changes,English
challenge19ZombieDesc,item,,,Challenge - Girls Just Wanna Have Fun 2. Win and claim your prize. This quest cannot be shared. Good Luck
challenge20Zombie,item,,,Challenge 20 - Kill 13
challenge20ZombieDesc,item,,,Challenge - Work From Home 2. Win and claim your prize. This quest cannot be shared. Good Luck
challenge21Zombie,item,,,Challenge 21 - Kill 10
challenge21ZombieDesc,item,,,Challenge - Born To Be Wild 2. Win and claim your prize. This quest cannot be shared. Good Luck
challenge22Zombie,item,,,Challenge 22 - Kill 14
challenge22ZombieDesc,item,,,Challenge - Dont Worry Be happy 2. Win and claim your prize. This quest cannot be shared. Good Luck
challenge23Zombie,item,,,Challenge 23 - Kill 7
challenge23ZombieDesc,item,,,Challenge - Jump! Jump! Jump! 2. Win and claim your prize. This quest cannot be shared. Good Luck
challenge24Zombie,item,,,Challenge 24 - Kill 14
challenge24ZombieDesc,item,,,Challenge - Takin' Care Of Business 2. Win and claim your prize. This quest cannot be shared. Good Luck
challenge25Zombie,item,,,Challenge 25 - Kill 9
challenge25ZombieDesc,item,,,Challenge - There Goes My Hero 2. Win and claim your prize. This quest cannot be shared. Good Luck
challenge26Zombie,item,,,Challenge 26 - Kill 10
challenge26ZombieDesc,item,,,Challenge - Unexpected Mutation 2. Win and claim your prize. This quest cannot be shared. Good Luck
challenge27Zombie,item,,,Challenge 27 - Kill 8
challenge27ZombieDesc,item,,,Challenge - Who Let The Dogs Out 2. Win and claim your prize. This quest cannot be shared. Good Luck
challenge28Zombie,item,,,Challenge 28 - Kill 18
challenge28ZombieDesc,item,,,Challenge - Just A Small Town Girl 3. Win and claim your prize. This quest cannot be shared. Good Luck
challenge29Zombie,item,,,Challenge 29 - Kill 18
challenge29ZombieDesc,item,,,Challenge - The Three Stooges 3. Win and claim your prize. This quest cannot be shared. Good Luck
challenge30Zombie,item,,,Challenge 30 - Kill 20
challenge30ZombieDesc,item,,,Challenge - He Was A Skater Boy 3. Win and claim your prize. This quest cannot be shared. Good Luck
challenge31Zombie,item,,,Challenge 31 - Kill 20
challenge31ZombieDesc,item,,,Challenge - Girls Just Wanna Have Fun 3. Win and claim your prize. This quest cannot be shared. Good Luck
challenge32Zombie,item,,,Challenge 32 - Kill 26
challenge32ZombieDesc,item,,,Challenge - Work From Home 3. Win and claim your prize. This quest cannot be shared. Good Luck
challenge33Zombie,item,,,Challenge 33 - Kill 20
challenge33ZombieDesc,item,,,Challenge - Born To Be Wild 3. Win and claim your prize. This quest cannot be shared. Good Luck
challenge34Zombie,item,,,Challenge 34 - Kill 28
challenge34ZombieDesc,item,,,Challenge - Dont Worry Be Happy 3. Win and claim your prize. This quest cannot be shared. Good Luck
challenge35Zombie,item,,,Challenge 35 - Kill 12
challenge35ZombieDesc,item,,,Challenge - Jump! Jump! Jump! 3. Win and claim your prize. This quest cannot be shared. Good Luck
challenge36Zombie,item,,,Challenge 36 - Kill 28
challenge36ZombieDesc,item,,,Challenge - Takin' Care Of Business 3. Win and claim your prize. This quest cannot be shared. Good Luck
challenge37Zombie,item,,,Challenge 37 - Kill 18
challenge37ZombieDesc,item,,,Challenge - There Goes My Hero 3. Win and claim your prize. This quest cannot be shared. Good Luck
challenge38Zombie,item,,,Challenge 38 - Kill 13
challenge38ZombieDesc,item,,,Challenge - The Wight Brothers. Win and claim your prize. This quest cannot be shared. Good Luck
challenge39Zombie,item,,,Challenge 39 - Kill 3
challenge39ZombieDesc,item,,,Challenge - Three Little Pigs. Win and claim your prize. This quest cannot be shared. Good Luck
challenge40Zombie,item,,,Challenge 40 - Kill 6
challenge40ZombieDesc,item,,,Challenge - Un-BEAR-Able. Win and claim your prize. This quest cannot be shared. Good Luck
challenge41Zombie,item,,,Challenge 41 - Kill 50
challenge41ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- It's About To Be A...Girl Fight. Win and claim your prize. This quest cannot be shared. Good Luck
challenge42Zombie,item,,,Challenge 42 - Kill 50
challenge42ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- Femme Fatale. Win and claim your prize. This quest cannot be shared. Good Luck
challenge43Zombie,item,,,Challenge 43 - Kill 50
challenge43ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- Clean Up On Aisle 5. Win and claim your prize. This quest cannot be shared. Good Luck
challenge44Zombie,item,,,Challenge 44 - Kill 50
challenge44ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- Sons Of Anarchy. Win and claim your prize. This quest cannot be shared. Good Luck
challenge45Zombie,item,,,Challenge 45 - Kill 50
challenge45ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- No Longer My Hero. Win and claim your prize. This quest cannot be shared. Good Luck
challenge46Zombie,item,,,Challenge 46 - Kill 50
challenge46ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- The Return Of Agent Smith. Win and claim your prize. This quest cannot be shared. Good Luck
challenge47Zombie,item,,,Challenge 47 - Kill 50
challenge47ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- Warriors Of Hell. Win and claim your prize. This quest cannot be shared. Good Luck
challenge48Zombie,item,,,Challenge 48 - Kill 50
challenge48ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- The Wolf Pack. Win and claim your prize. This quest cannot be shared. Good Luck
challenge49Zombie,item,,,Challenge 49 - Kill 50
challenge49ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- Cocaine Bears. Win and claim your prize.  This quest cannot be shared. Good Luck
challenge50Zombie,item,,,Challenge 50 - Kill 60
challenge50ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- Ultimate Showdown. Win and claim your prize. This quest cannot be shared. Good Luck




challenge1Drunk,item,,,Drunk n Disorderly - Kill 9
challenge1DrunkDesc,item,,,Drunk n Disorderly - Kill while buzzed on beer. Just A Small Town Girl. Win and claim your prize. This quest cannot be shared. Good Luck
challenge2Drunk,item,,,Drunk n Disorderly - Kill 9
challenge2DrunkDesc,item,,,Drunk n Disorderly - Kill while buzzed on beer. The Three Stooges. Win and claim your prize. This quest cannot be shared. Good Luck
challenge3Drunk,item,,,Drunk n Disorderly - Kill 10
challenge3DrunkDesc,item,,,Drunk n Disorderly - Kill while buzzed on beer. He Was A Skater Boy. Win and claim your prize. This quest cannot be shared. Good Luck
