Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
civilianNPCTestFemaleKhzAK47,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzTRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzHRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzSRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzXBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzLBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzRocketL,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestMaleKhzClub,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzKnife,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzBat,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzMachete,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzAxe,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzSpear,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzSMG,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzM60,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzPistol,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzDPistol,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzAK47,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzTRifle,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzHRifle,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzSRifle,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzLBow,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzXBow,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCTestMaleKhzRocketL,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民
civilianNPCFemaleAgedKhzClub,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzKnife,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzAxe,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzSpear,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzBat,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzMachete,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzSMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzM60,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzDPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzAK47,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzTRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzHRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzSRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzXBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzLBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleAgedKhzRocketL,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzClub,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzKnife,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzAxe,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzSpear,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzBat,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzMachete,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzSMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzM60,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzDPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzAK47,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzTRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzHRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzSRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzXBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzLBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleScrubsKhzRocketL,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzClub,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzKnife,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzAxe,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzSpear,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzBat,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzMachete,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzSMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzM60,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzDPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzAK47,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzTRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzHRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzSRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzXBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzLBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung1KhzRocketL,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzClub,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzKnife,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzAxe,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzSpear,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzBat,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzMachete,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzSMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzM60,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzDPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzAK47,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzTRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzHRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzSRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzXBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzLBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung2KhzRocketL,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung3KhzClub,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung3KhzKnife,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung3KhzAxe,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung3KhzSpear,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCFemaleYoung3KhzBat,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
