Key,english
quest_MaterialTrader3_ConcreteMix_subtitle,Collect 500 crushed sand 500 cement and 1000 small stones
quest_MaterialTrader3_ConcreteMix_description,Trade 500 crushed sand 500 cement and 1000 small stones for 500 concrete mix.
quest_MaterialTrader4_ConcreteMix,1000 Concrete Mix
quest_MaterialTrader4_ConcreteMix_subtitle,Collect 1000 crushed sand 1000 cement and 2000 small stones
quest_MaterialTrader4_ConcreteMix_description,Trade 1000 crushed sand 1000 cement and 2000 small stones for 1000 concrete mix.
quest_MaterialTrader1_Cement,25 Cement
quest_MaterialTrader1_Cement_subtitle,Collect  125 small stones
quest_MaterialTrader1_Cement_description,Trade 125 small stones for 25 cement.
quest_MaterialTrader2_Cement,100 Cement
quest_MaterialTrader2_Cement_subtitle,Collect  500 small stones
quest_MaterialTrader2_Cement_description,Trade 500 small stones for 100 cement.
quest_MaterialTrader3_Cement,500 Cement
quest_MaterialTrader3_Cement_subtitle,Collect  500 small stones
quest_MaterialTrader3_Cement_description,Trade 2500 small stones for 500 cement.
quest_MaterialTrader4_Cement,1000 Cement
quest_MaterialTrader4_Cement_subtitle,Collect  5000 small stones
quest_MaterialTrader4_Cement_description,Trade 5000 small stones for 1000 cement.
quest_MaterialTrader1_resourceForgedIron,25 Forged Iron
quest_MaterialTrader1_resourceForgedIron_subtitle,Collect 250 Scrap Iron and 125 Clay
quest_MaterialTrader1_resourceForgedIron_description,Collect 250 Scrap Iron and 125 Clay to trade for 25 Forged Iron.
quest_MaterialTrader2_resourceForgedIron,100 Forged Iron
quest_MaterialTrader2_resourceForgedIron_subtitle,Collect 1000 Scrap Iron and 500 Clay
quest_MaterialTrader2_resourceForgedIron_description,Collect 1000 Scrap Iron and 500 Clay to trade for 100 Forged Iron
quest_MaterialTrader3_resourceForgedIron,500 Forged Iron
quest_MaterialTrader3_resourceForgedIron_subtitle,Collect 5000 Scrap Iron and 2500 Clay
quest_MaterialTrader3_resourceForgedIron_description,Collect 5000 Scrap Iron and 2500 Clay to trade for 500 Forged Iron
quest_MaterialTrader4_resourceForgedIron,1000 Forged Iron
quest_MaterialTrader4_resourceForgedIron_subtitle,Collect 10000 Scrap Iron and 5000 Clay
quest_MaterialTrader4_resourceForgedIron_description,Collect 10000 Scrap Iron and 5000 Clay to trade for 1000 Forged Iron
quest_MaterialTrader1_resourceForgedSteel,25 Forged Iron
quest_MaterialTrader1_resourceForgedSteel_subtitle,Collect 500 Scrap Iron and 250 Clay
quest_MaterialTrader1_resourceForgedSteel_description,Collect 500 Scrap Iron and 250 Clay to trade for 25 Forged Steel.
quest_MaterialTrader2_resourceForgedSteel,100 Forged Steel
quest_MaterialTrader2_resourceForgedSteel_subtitle,Collect 2000 Scrap Iron and 1000 Clay
quest_MaterialTrader2_resourceForgedSteel_description,Collect 2000 Scrap Iron and 1000 Clay to trade for 100 Forged Steel
quest_MaterialTrader3_resourceForgedSteel,500 Forged Steel
quest_MaterialTrader3_resourceForgedSteel_subtitle,Collect 10000 Scrap Iron and 5000 Clay
quest_MaterialTrader3_resourceForgedSteel_description,Collect 10000 Scrap Iron and 5000 Clay to trade for 500 Forged Steel
quest_MaterialTrader4_resourceForgedSteel,1000 Forged Steel
quest_MaterialTrader4_resourceForgedSteel_subtitle,Collect 20000 Scrap Iron and 10000 Clay
quest_MaterialTrader4_resourceForgedSteel_description,Collect 20000 Scrap Iron and 10000 Clay to trade for 1000 Forged Steel
quest_MaterialTrader1_FlagstoneBlock,25 Flagstone Block
quest_MaterialTrader1_FlagstoneBlock_subtitle,Collect 100 Cobblestones
quest_MaterialTrader1_FlagstoneBlock_description,Trade 100 Cobblestones for 25 Flagstone Blocks.
quest_MaterialTrader2_FlagstoneBlock,100 Flagstone Block
quest_MaterialTrader2_FlagstoneBlock_subtitle,Collect 400 Cobblestones
quest_MaterialTrader2_FlagstoneBlock_description,Trade 400 Cobblestones for 100 Flagstone Blocks.
quest_MaterialTrader3_FlagstoneBlock,500 Flagstone Block
quest_MaterialTrader3_FlagstoneBlock_subtitle,Collect 2000 Cobblestones
quest_MaterialTrader3_FlagstoneBlock_description,Trade 2000 Cobblestones for 500 Flagstone Blocks.
quest_MaterialTrader4_FlagstoneBlock,1000 Flagstone Block
quest_MaterialTrader4_FlagstoneBlock_subtitle,Collect 4000 Cobblestones
quest_MaterialTrader4_FlagstoneBlock_description,Trade 4000 Cobblestones for 1000 Flagstone Blocks.
quest_MaterialTrader1_rebarFrameBlock,25 Rebar Frame Block
quest_MaterialTrader1_rebarFrameBlock_subtitle,Collect  25 small stones and 125 scrap iron.
quest_MaterialTrader1_rebarFrameBlock_description,Trade 25 small stones and 125 scrap iron for 25 rebar frame block.
quest_MaterialTrader2_rebarFrameBlock,100 Rebar Frame Block
quest_MaterialTrader2_rebarFrameBlock_subtitle,Collect  100 small stones and 500 scrap iron.
quest_MaterialTrader2_rebarFrameBlock_description,Trade 100 small stones and 500 scrap iron for 100 rebar frame block.
quest_MaterialTrader3_rebarFrameBlock,500 Rebar Frame Block
quest_MaterialTrader3_rebarFrameBlock_subtitle,Collect  500 small stones and 2500 scrap iron.
quest_MaterialTrader3_rebarFrameBlock_description,Trade 500 small stones and 2500 scrap iron for 500 rebar frame block.
quest_MaterialTrader4_rebarFrameBlock,1000 Rebar Frame Block
quest_MaterialTrader4_rebarFrameBlock_subtitle,Collect  1000 small stones and 5000 scrap iron.
quest_MaterialTrader4_rebarFrameBlock_description,Trade 1000 small stones and 5000 scrap iron for 1000 rebar frame block.
quest_MaterialTrader1_woodBarsCentered,25 Wood Bars Centered
quest_MaterialTrader1_woodBarsCentered_subtitle,Collect 150 wood.
quest_MaterialTrader1_woodBarsCentered_description,Trade 150 wood for 25 Wood Bars.
quest_MaterialTrader2_woodBarsCentered,100 Wood Bars Centered
quest_MaterialTrader2_woodBarsCentered_subtitle,Collect 600 wood.
quest_MaterialTrader2_woodBarsCentered_description,Trade 600 wood for 100 Wood Bars.
quest_MaterialTrader3_woodBarsCentered,500 Wood Bars Centered
quest_MaterialTrader3_woodBarsCentered_subtitle,Collect 3000 wood.
quest_MaterialTrader3_woodBarsCentered_description,Trade 3000 wood for 500 Wood Bars.
quest_MaterialTrader4_woodBarsCentered,1000 Wood Bars Centered
quest_MaterialTrader4_woodBarsCentered_subtitle,Collect  6000 wood.
quest_MaterialTrader4_woodBarsCentered_description,Trade 6000 wood for 1000 Wood Bars.
quest_MaterialTrader1_woodBars,25 Wood Bars
quest_MaterialTrader1_woodBars_subtitle,Collect 150 wood.
quest_MaterialTrader1_woodBars_description,Trade 150 wood for 25 Wood Bars.
quest_MaterialTrader2_woodBars,100 Wood Bars
quest_MaterialTrader2_woodBars_subtitle,Collect 600 wood.
quest_MaterialTrader2_woodBars_description,Trade 600 wood for 100 Wood Bars.
quest_MaterialTrader3_woodBars,500 Wood Bars
quest_MaterialTrader3_woodBars_subtitle,Collect 3000 wood.
quest_MaterialTrader3_woodBars_description,Trade 3000 wood for 500 Wood Bars.
quest_MaterialTrader4_woodBars,1000 Wood Bars
quest_MaterialTrader4_woodBars_subtitle,Collect  6000 wood.
quest_MaterialTrader4_woodBars_description,Trade 6000 wood for 1000 Wood Bars.
quest_MaterialTrader1_ironBarsCentered,25 Iron Bars Centered
quest_MaterialTrader1_ironBarsCentered_subtitle,Collect 2500 Scrap Iron and 250 Clay .
quest_MaterialTrader1_ironBarsCentered_description,Trade 2500 Scrap Iron and 250 Clay for 25 Iron Bars.
quest_MaterialTrader2_ironBarsCentered,100 Iron Bars Centered
quest_MaterialTrader2_ironBarsCentered_subtitle,Collect 10000 Scrap Iron and 2000 Clay.
quest_MaterialTrader2_ironBarsCentered_description,Trade 10000 Scrap Iron and 2000 Clay for 100 Iron Bars.
quest_MaterialTrader3_ironBarsCentered,500 Iron Bars Centered
quest_MaterialTrader3_ironBarsCentered_subtitle,Collect 50000 Scrap Iron and 10000 Clay.
quest_MaterialTrader3_ironBarsCentered_description,Trade 50000 Scrap Iron and 10000 Clay for 500 Iron Bars.
quest_MaterialTrader4_ironBarsCentered,1000 Iron Bars Centered
quest_MaterialTrader4_ironBarsCentered_subtitle,Collect  100000 Scrap Iron and 20000 Clay.
quest_MaterialTrader4_ironBarsCentered_description,Trade 100000 Scrap Iron and 20000 Clay for 1000 Iron Bars.
quest_MaterialTrader1_ironBars,25 Iron Bars
quest_MaterialTrader1_ironBars_subtitle,Collect 2500 Scrap Iron and 250 Clay .
quest_MaterialTrader1_ironBars_description,Trade 2500 Scrap Iron and 250 Clay for 25 Iron Bars.
quest_MaterialTrader2_ironBars,100 Iron Bars
quest_MaterialTrader2_ironBars_subtitle,Collect 10000 Scrap Iron and 2000 Clay.
quest_MaterialTrader2_ironBars_description,Trade 10000 Scrap Iron and 2000 Clay for 100 Iron Bars.
quest_MaterialTrader3_ironBars,500 Iron Bars
quest_MaterialTrader3_ironBars_subtitle,Collect 50000 Scrap Iron and 10000 Clay.
quest_MaterialTrader3_ironBars_description,Trade 50000 Scrap Iron and 10000 Clay for 500 Iron Bars.
quest_MaterialTrader4_ironBars,1000 Iron Bars
quest_MaterialTrader4_ironBars_subtitle,Collect  100000 Scrap Iron and 20000 Clay.
quest_MaterialTrader4_ironBars_description,Trade 100000 Scrap Iron and 20000 Clay for 1000 Iron Bars.




animalSnake, "Ju-Ju"
animalCoyote, "Harley"
animalDoe, "Bambi"
animalRabbit, "Thumper"
animalBoar, "Pumbaa"
animalDireWolf, "Pissed off Jacob"
animalWolf, "Jacob"
animalChicken, "Cluck-Cluck"
animalBear,"Pooh"
animalZombieBear,"One Pissed off Pooh"
animalZombieDog,"Bolt"
animalStag,"Redneck fastfood"
animalZombieVulture,"Reveka's Nemisis"
animalZombieVultureRadiated,"Reveka's Nemisis Radiated"
animalMountainLion,"Boo `Kitty`"

zombieMarlene,"The Wife(Marlene)"
zombieMarleneFeral,"Pissed Wifey(Marlene)"
zombieMarleneRadiated,"Possessed Wifey(Marlene)"

zombieWightFeral,"Pissed Redneck"
zombieWightRadiated,"Possessed Redneck"

zombieArlene,"Bellatrix Lestrange(Arlene)"
zombieArleneFeral,"Pissed Bellatrix Lestrange(Arlene)"
zombieArleneRadiated,"Possessed Bellatrix Lestrange(Arlene)"
zombieBoe,"2 Face(Boe)"
zombieBoeFeral,"Pissed 2 Face(Boe)"
zombieBoeRadiated,"Possessed 2 Face(Boe)"
zombieDemolition,"Mc. Boom Boom"
zombieFatCop,"Shavickk"
zombieFatCopFeral,"Pissed Shavickk"
zombieFatCopRadiated,"Possessed Shavickk..RUN!!"
zombieFatHawaiian,"Tommy Boy"
zombieFatHawaiianFeral,"Pissed Tommy Boy"
zombieFatHawaiianRadiated,"Possessed Tommy Boy"
zombieJoe,"Ron Weasley(Joe)"
zombieJoeFeral,"Pissed Ron Weasley(Joe)"
zombieJoeRadiated,"Possessed Ron Weasley(Joe)"

zombieScreamer,"Regan MacNeil(Screamer)"
zombieScreamerFeral,"Pissed Regan MacNeil(Screamer)"
zombieScreamerRadiated,"Possessed Regan MacNeil(Screamer)"



zombieSoldier,"General Zod"
zombieSoldierFeral,"Pisses General Zod"
zombieSoldierRadiated,"Possessed General Zod"
zombieMaleHazmat,"Fox Mulder"
zombieMaleHazmatFeral,"Pissed Fox Mulder"
zombieMaleHazmatRadiated,"Possessed Fox Mulder"

zombieBiker,"Jeff-fa-fa(Biker)"
zombieBikerFeral,"Pissed Jeff-fa-fa(Biker)"
zombieBikerRadiated,"Possessed Jeff-fa-fa(Biker)"
zombieBusinessMan,"Jake from State Farm(Business)"
zombieBusinessManFeral,"Pissed Jake from State Farm(Business)"
zombieBusinessManRadiated,"Possessed Jake from State Farm(Business)"
zombieBurnt,"Mr. Kreuger"
zombieBurntFeral,"Pissed Mr. Kreuger"
zombieBurntRadiated,"PossessedMr. Kreuger"
zombieDarlene,"Karen(Darlene)"
zombieDarleneFeral,"Pissed Karen(Darlene)"
zombieDarleneRadiated,"Possessed Karen(Darlene)"
zombieFemaleFat,"Rosie (R3d's Mum)"
zombieFemaleFatFeral,"Pissed Rosie (R3d's Mum)"
zombieFemaleFatRadiated,"Possessed Rosie (R3d's Mum)"
zombieJanitor,"Mechanic Mike(Janitor)"
zombieJanitorFeral,"Pissed Mechanic Mike(Janitor)"
zombieJanitorRadiated,"Possessed Mechanic Mike(Janitor)"
zombieLab,"Scully(Lab)"
zombieLabFeral,"Pissed Scully(Lab)"
zombieLabRadiated,"Possessed Scully(Lab)"
zombieMoe,"Clark Kent(Moe)"
zombieMoeFeral,"Pissed Clark Kent(Moe)"
zombieMoeRadiated,"Possessed Clark Kent(Moe)"
zombieMutated,"Bugers"
zombieMutatedFeral,"Pissed Bugers"
zombieMutatedRadiated,"Possessed Bugers"
zombieNurse,"Nurse Margaret `Hot Lips`"
zombieNurseFeral,"Pissed  Margaret `Hot Lips`"
zombieNurseRadiated,"Possessed Margaret `Hot Lips`"
zombieSkateboarder,"Skeletor"
zombieSkateboarderFeral,"Pissed Skeletor"
zombieSkateboarderRadiated,"Possessed Skeletor"
zombiePartyGirl,"Jiggles"
zombiePartyGirlFeral,"Frisky Jiggles"
zombiePartyGirlRadiated,"Pissed off Jiggles"
zombieSpider,"Spidy Boy"
zombieSpiderFeral,"Pissed Spidy Boy"
zombieSpiderRadiated,"Possessed Spidy Boy"
zombieSteve,"Harry Potter(Steve)"
zombieSteveFeral,"Pissed Harry Potter(Steve)"
zombieSteveRadiated,"Possessed Harrry Potter(Steve)"
zombieSteveCrawler,"LT. Dan"
zombieSteveCrawlerFeral,"Pissed LT. Dan"
zombieUtilityWorker,"Bob Da Builda"
zombieUtilityWorkerFeral,"Pissed Bob Da Builda"
zombieUtilityWorkerRadiated,"Possessed Bob Da Builda"
zombieTomClark,"Marty McFly"
zombieTomClarkFeral,"Pissed Marty McFly"
zombieTomClarkRadiated,"Possessed Marty McFly"
zombieYo,"Derek Lutz(Yo)"
zombieYoFeral,"Pissed Derek Lutz(Yo)"
zombieYoRadiated,"Possessed Derek Lutz(Yo)"
perkluckylootercomplete,"Lucky Looter Completed"

resourceRepairKit,"Repair Kit For Vehicles"
repairKitArmor,"Repair Kit For Armor"
repairKitTools,"Repair Kit For Tools"
repairKitWeapon,"Repair Kit For Weapons"


quest_WhiteRiverCitizen,White River Citizen
quest_WhiteRiverCitizen1,White River Citizen 1/1
quest_WhiteRiverCitizen1_description,"Welcome to On the 5th day.\nI'm happy to share our ideal how things should be\n100% learn by doing & using.Meaning no skill pionts nor magazines to help ya!!\nWorkstations & vehicles have to be found and repaired.\nBe mindful of what you eat! Food can be spoiled.\nBiome protection & stronger zombies are a thing."



-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

ammo57Case,5.7 NATO Brass Casing,,
ammo57CaseDesc,A 5.7 NATO Brass Casing used in Ammunition Crafting.\n\nCan be repurposed at a Ammo Bench or Moulded at Milling Machines!!,,
ammo57Tip,5.7 NATO Jacketed Tip,,
ammo57TipDesc,A 5.7 NATO Jacketed Bullet Tip used in Ammunition Crafting.\n\nCan be Moulded at Milling Machines!!,,

ammo57,5.7 NATOmm Ammo,,5.7 NATOmm-Munition,Munición de 5.7 NATO mm,Munition cal. 5.7 NATO mm,Munizioni per 5.7 NATO mm,5.7 NATOmm弾,5.7 NATOmm 탄약,Amunicja 5.7 NATO mm,Munição 5.7 NATO mm,Патроны 5.7 NATO мм,5.7 NATO mm Mühimmat,5.7 NATO毫米弹药,5.7 NATO 毫米彈藥,Munición de 5.7 NATO mm
ammo57Desc,A 5.7 NATOmm round used as firearm ammunition. Can be crafted at a Ammo Bench.,,5.7 NATOmm Munition wird für Waffen benutz. Herstellbar an der Ammo-Werkbank,5.7 NATO-3RDLANGUAGE,10-4THLANGUAGE,11-5THLANGUAGE,12-6THLANGUAGE,13-7THLANGUAGE,14-8THLANGUAGE,15-5.7 NATOTHLANGUAGE,16-10THLANGUAGE,17-11THLANGUAGE,18-12THLANGUAGE,15.7 NATO-13THLANGUAGE
Pack57ammo,Packed 5.7 NATOmm Ammo,,Box mit 5.7 NATOmm-Munition,Munición de 5.7 NATO mm,Munition cal. 5.7 NATO mm,Munizioni per 5.7 NATO mm,5.7 NATOmm弾,5.7 NATOmm 탄약,Amunicja 5.7 NATO mm,Munição 5.7 NATO mm,Патроны 5.7 NATO мм,5.7 NATO mm Mühimmat,5.7 NATO毫米弹药,5.7 NATO 毫米彈藥,Munición de 5.7 NATO mm
Pack57ammoDesc,A convenient pack of 20 units of ammunition.\n\nUse this item to take the ammo out of the box so that you can load it into a weapon.,,Ein praktischer Stapel mit 300 Munitionseinheiten.\n\nMit diesem Gegenstand können Sie die Munition aus der Schachtel nehmen, um sie in eine Waffe zu laden.,5.7 NATO-3RDLANGUAGE,10-4THLANGUAGE,11-5THLANGUAGE,12-6THLANGUAGE,13-7THLANGUAGE,14-8THLANGUAGE,15-5.7 NATOTHLANGUAGE,16-10THLANGUAGE,17-11THLANGUAGE,18-12THLANGUAGE,15.7 NATO-13THLANGUAGE
AmmoBox57,items,item,,,5.7 NATO Ammo Box (200),,
AmmoBox57Desc,items,item,,,Ammo Box containing 10 Packed Boxes of 5.7 NATO Ammo. \n\nUse this item to empty the Packs out of the ammo box. \n(Reuseable)! \n\nCan be crafted at a Ammo Bench.,,

ammo57HP,5.7 NATOmm HP Ammo,,HP 5.7 NATOmm-Munition,Munición de 5.7 NATO mm,Munition cal. 5.7 NATO mm,Munizioni per 5.7 NATO mm,5.7 NATOmm弾,5.7 NATOmm 탄약,Amunicja 5.7 NATO mm,Munição 5.7 NATO mm,Патроны 5.7 NATO мм,5.7 NATO mm Mühimmat,5.7 NATO毫米弹药,5.7 NATO 毫米彈藥,Munición de 5.7 NATO mm
ammo57HPDesc,A 5.7 NATOmm HP round used as firearm ammunition. Can be crafted at a Ammo Bench.,,HP 5.7 NATOmm-Munition wird für Waffen benutz. Herstellbar an der Ammo-Werkbank,5.7 NATO-3RDLANGUAGE,10-4THLANGUAGE,11-5THLANGUAGE,12-6THLANGUAGE,13-7THLANGUAGE,14-8THLANGUAGE,15-5.7 NATOTHLANGUAGE,16-10THLANGUAGE,17-11THLANGUAGE,18-12THLANGUAGE,15.7 NATO-13THLANGUAGE
PackHP57ammo,Packed 5.7 NATOmm HP Ammo,,Box mit AP 5.7 NATOmm-Munition,Munición de 5.7 NATO mm,Munition cal. 5.7 NATO mm,Munizioni per 5.7 NATO mm,5.7 NATOmm弾,5.7 NATOmm 탄약,Amunicja 5.7 NATO mm,Munição 5.7 NATO mm,Патроны 5.7 NATO мм,5.7 NATO mm Mühimmat,5.7 NATO毫米弹药,5.7 NATO 毫米彈藥,Munición de 5.7 NATO mm
PackHP57ammoDesc,A convenient pack of 20 units of ammunition.\n\nUse this item to take the ammo out of the box so that you can load it into a weapon.,,Ein praktischer Stapel mit 300 Munitionseinheiten.\n\nMit diesem Gegenstand können Sie die Munition aus der Schachtel nehmen, um sie in eine Waffe zu laden.,5.7 NATO-3RDLANGUAGE,10-4THLANGUAGE,11-5THLANGUAGE,12-6THLANGUAGE,13-7THLANGUAGE,14-8THLANGUAGE,15-5.7 NATOTHLANGUAGE,16-10THLANGUAGE,17-11THLANGUAGE,18-12THLANGUAGE,15.7 NATO-13THLANGUAGE
AmmoBox57HP,items,item,,,5.7 NATO HP Ammo Box (200),,
AmmoBox57HPDesc,items,item,,,Ammo Box containing 10 Packed Boxes of 5.7 NATO HP Ammo. \n\nUse this item to empty the Packs out of the ammo box. \n(Reuseable)! \n\nCan be crafted at a Ammo Bench.,,

ammo57AP,5.7 NATOmm AP Ammo,,AP 5.7 NATOmm-Munition,Munición de 5.7 NATO mm,Munition cal. 5.7 NATO mm,Munizioni per 5.7 NATO mm,5.7 NATOmm弾,5.7 NATOmm 탄약,Amunicja 5.7 NATO mm,Munição 5.7 NATO mm,Патроны 5.7 NATO мм,5.7 NATO mm Mühimmat,5.7 NATO毫米弹药,5.7 NATO 毫米彈藥,Munición de 5.7 NATO mm
ammo57APDesc,A 5.7 NATOmm AP round used as firearm ammunition. Can be crafted at a Ammo Bench.,,AP 5.7 NATOmm-Munition wird für Waffen benutz. Herstellbar an der Ammo-Werkbank,5.7 NATO-3RDLANGUAGE,10-4THLANGUAGE,11-5THLANGUAGE,12-6THLANGUAGE,13-7THLANGUAGE,14-8THLANGUAGE,15-5.7 NATOTHLANGUAGE,16-10THLANGUAGE,17-11THLANGUAGE,18-12THLANGUAGE,15.7 NATO-13THLANGUAGE
PackAP57ammo,Packed 5.7 NATOmm AP Ammo,,Box mit 5.7 NATOmm-Munition,Munición de 5.7 NATO mm,Munition cal. 5.7 NATO mm,Munizioni per 5.7 NATO mm,5.7 NATOmm弾,5.7 NATOmm 탄약,Amunicja 5.7 NATO mm,Munição 5.7 NATO mm,Патроны 5.7 NATO мм,5.7 NATO mm Mühimmat,5.7 NATO毫米弹药,5.7 NATO 毫米彈藥,Munición de 5.7 NATO mm
PackAP57ammoDesc,A convenient pack of 20 units of ammunition.\n\nUse this item to take the ammo out of the box so that you can load it into a weapon.,,Ein praktischer Stapel mit 300 Munitionseinheiten.\n\nMit diesem Gegenstand können Sie die Munition aus der Schachtel nehmen, um sie in eine Waffe zu laden.,5.7 NATO-3RDLANGUAGE,10-4THLANGUAGE,11-5THLANGUAGE,12-6THLANGUAGE,13-7THLANGUAGE,14-8THLANGUAGE,15-5.7 NATOTHLANGUAGE,16-10THLANGUAGE,17-11THLANGUAGE,18-12THLANGUAGE,15.7 NATO-13THLANGUAGE
AmmoBox57AP,5.7 NATO AP Ammo Box (200),,
AmmoBox57APDesc,Ammo Box containing 10 Packed Boxes of 5.7 NATO AP Ammo. \n\nUse this item to empty the Packs out of the ammo box. \n(Reuseable)! \n\nCan be crafted at a Ammo Bench.,,


perkWrenches,Wrenching Skill
perkWrenchesDesc,"Wrenching skill. Crafting shapes / upgrading shapes adds to this skill"
PerkHOHWrenches,Wrenching Skill
PerkHOHWrenchesDesc,"Wrenching skill. Crafting shapes / upgrading shapes adds to this skill"

PerkHOHAxe,Axe Skill
PerkHOHPickAxe,Pick Axe Skill
PerkHOHShovel,Shovel Skill
PerkHOHFist,Hand to Hand Skill
PerkHOHKnifes,Knife Skill
PerkHOHJavelin,Javelin Skill
PerkHOHClubsBats,Art of ancient warefare Skills
PerkHOHClubs,Art of ancient warefare Skills
PerkHOHBows,Bow Skill
PerkHOHPistols,Pistol Skill
PerkHOHSMG,SMG Skill
PerkHOHShotguns,ShotGun Skill
PerkHOHMachineGuns,Machine Gun Skill
perkHOHRifles,Rifle Skill
PerkHOHArmor,Armor Skill
PerkHOHHealthandBody,Health and Body Skill
PerkHOHTraps,Trap Skill
PerkHOHStealing,Stealing Skill
PerkHOHQuesting,Trader Rep / Quest Skill
PerkHOHCooking,Food & Cooking Skill
perkHOHOlympics,Personal Fitness Skill
PerkHOHFarming,Farming Skill
PerkHOHJeweler,Jeweler Skill
perkHOHStealth,Stealth Skill
PerkHOHHunting,Hunting Skill




PerkHOHAxeDesc,Using your axe to chop wood increases this skill.
PerkHOHPickAxeDesc,Using your pick axe to mine resources increases this skill.
PerkHOHShovelDesc,Using your shovel to dig soil or sand increases this skill.
PerkHOHFistDesc,Punching zombies in the face increases this skill.
PerkHOHKnifeDesc,Stabbing zombies will increase this skill.
