Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
dialog_rogues_response_lets_talk,Quest,Dialogs,,,Let's talk.,,Lass uns reden.,Hablemos.,Parlons.,Parliamo.,話しましょう。,얘기하자.,Porozmawiajmy.,Vamos conversar.,Давай поговорим.,Hadi Konuşalım.,让我们谈谈。,讓我們談談。
dialog_rogues_response_what_do_before_apocalypse,Quest,Dialogs,,,What did you do before the apocalypse?,,Was hast du vor der Apokalypse gemacht?,¿Qué hiciste antes del apocalipsis?,Qu'avez-vous fait avant l'apocalypse?,Cosa hai fatto prima dell'Apocalisse?,黙示録の前に何をしましたか？,묵시록 전에 무엇을 했습니까?,Co zrobiłeś przed apokalipsą?,O que você fez antes do apocalipse?,Что вы делали до апокалипсиса?,Kıyametten önce ne yaptın?,您在启示录之前做了什么？,您在啟示錄之前做了什麼？
dialog_rogues_response_what_happened,Quest,Dialogs,,,What happened?,,Was ist passiert?,¿Qué sucedió?,Qu'est-il arrivé?,Quello che è successo?,どうしたの？,무슨 일이에요?,Co się stało?,O que aconteceu?,Что случилось?,Ne oldu?,发生了什么？,發生了什麼？
dialog_rogues_response_what_happened_group,Quest,Dialogs,,,What happened to your original group of survivors?,,Was ist mit Ihrer ursprünglichen Gruppe von Überlebenden passiert?,¿Qué pasó con su grupo original de sobrevivientes?,Qu'est-il arrivé à votre groupe d'origine de survivants?,Cosa è successo al tuo gruppo originale di sopravvissuti?,あなたの元の生存者グループはどうなりましたか？,원래 생존자 그룹은 어떻게 되었습니까?,Co się stało z twoją pierwotną grupą ocalałych?,O que aconteceu com seu grupo original de sobreviventes?,Что случилось с вашей первоначальной группой выживших?,Orijinal hayatta kalan grubunuza ne oldu?,您最初的幸存者群体发生了什么？,您最初的倖存者群體發生了什麼？
dialog_rogues_statement_bringer_of_death,Quest,Dialogs,,,"When the world is ruled by death, only a fool would not become a bringer of death.",,"Wenn die Welt durch den Tod regiert wird, würde nur ein Narr kein Todbringer werden.","Cuando el mundo está gobernado por la muerte, solo un tonto no se convertiría en un traficante de la muerte.","Lorsque le monde est gouverné par la mort, seul un imbécile ne deviendrait pas un apporter de la mort.","Quando il mondo è governato dalla morte, solo uno sciocco non sarebbe diventato un portatore di morte.",世界が死によって支配されているとき、愚か者だけが死のもたらされないでしょう。,"세상이 죽음에 의해 지배 될 때, 바보만이 죽음의이자가되지 않을 것입니다.","Kiedy świat rządził śmiercią, tylko głupiec nie stałby się śmiercią.","Quando o mundo é governado pela morte, apenas um tolo não se tornaria um traficante da morte.","Когда мир управляется смертью, только дурак не стал бы принесением смерти.","Dünya ölümle yönetildiğinde, sadece bir aptal ölüm getiricisi olmazdı.",当世界被死亡统治时，只有一个傻瓜不会成为死亡的带来。,當世界被死亡統治時，只有一個傻瓜不會成為死亡的帶來。
dialog_rogues_statement_defend_alliance_cowardice,Quest,Dialogs,,,To defend oneself by alliance is proof of cowardice.,,Sich durch Allianz zu verteidigen ist ein Beweis für Feigheit.,Defenderse por alianza es prueba de cobardía.,Se défendre par l'alliance est la preuve de la lâcheté.,Difendersi per alleanza è la prova della codardia.,同盟によって自分自身を守ることは、co病の証拠です。,동맹에 의해 자신을 방어하는 것은 겁쟁이의 증거입니다.,Obrona przed sojuszem jest dowodem tchórzostwa.,Para se defender pela aliança é a prova de covardia.,Защищать себя альянсом - это доказательство трусости.,İttifakla kendini savunmak korkaklığın kanıtıdır.,通过联盟捍卫自己是怯ward的证明。,通過聯盟捍衛自己是怯ward的證明。
dialog_rogues_statement_dont_want_to_talk_about_it,Quest,Dialogs,,,I don't want to talk about it.,,Ich möchte nicht darüber reden.,No quiero hablar de ello.,Je ne veux pas en parler.,Non voglio parlare di questo.,そのことは話したくない。,내가 얘기하고 싶지 않아요.,Nie chcę o tym rozmawiać.,Eu não quero falar sobre isso.,Я не хочу об этом говорить.,Bunun hakkında konuşmak istemiyorum.,我不想讨论这件事。,我不想討論這件事。
dialog_rogues_statement_dont_want_to_talk_with_you,Quest,Dialogs,,,I don't want to talk with you.,,Ich möchte nicht mit dir reden.,No quiero hablar contigo.,Je ne veux pas parler avec toi.,Non voglio parlare con te.,私はあなたと話をしたくありません。,나는 당신과 이야기하고 싶지 않습니다.,Nie chcę z tobą rozmawiać.,Eu não quero falar com você.,Я не хочу с тобой разговаривать.,Seninle konuşmak istemiyorum.,我不想和你说话。,我不想和你說話。
dialog_rogues_statement_endless_road_nothing_but_night,Quest,Dialogs,,,"In all the endless road I tread, there's nothing but the night.",,"In all der endlosen Straße, die ich trete, gibt es nur die Nacht.","En todo el camino interminable que pisa, no hay nada más que la noche.","Dans toute la route sans fin que je marche, il n'y a que la nuit.","In tutta la strada infinita che cammina, non c'è altro che la notte.",私が踏むすべての無限の道で、夜しかありません。,내가 밟는 끝없는 길에는 밤만이 없습니다.,"Na całej niekończącej się drogi, którą kroczę, nie ma nic oprócz nocy.","Em toda a estrada sem fim que piso, não há nada além de noite.","На всех бесконечных дорогах я иду, нет ничего, кроме ночи.","Aradığım tüm sonsuz yolda, geceden başka bir şey yok.",在所有无尽的道路上，我踩着，除了夜晚，别无其他。,在所有無盡的道路上，我踩著，除了夜晚，別無其他。
dialog_rogues_statement_family_killed_wife_cancer,Quest,Dialogs,,,"My family was killed during the war, and my wife died of cancer right after the dead started walking.",,"Meine Familie wurde während des Krieges getötet, und meine Frau starb gleich nach dem Gehen der Toten an Krebs.","Mi familia fue asesinada durante la guerra, y mi esposa murió de cáncer justo después de que los muertos comenzaron a caminar.",Ma famille a été tuée pendant la guerre et ma femme est décédée d'un cancer juste après que les morts ont commencé à marcher.,La mia famiglia è stata uccisa durante la guerra e mia moglie è morta di cancro subito dopo che i morti hanno iniziato a camminare.,私の家族は戦争中に殺され、私の妻は死者が歩き始めた直後に癌で亡くなりました。,우리 가족은 전쟁 중에 살해 당했고 아내는 죽은자가 걷기 시작한 직후 암으로 사망했습니다.,"Moja rodzina została zabita podczas wojny, a moja żona zmarła na raka zaraz po tym, jak umarli zaczęli chodzić.",Minha família foi morta durante a guerra e minha esposa morreu de câncer logo após o início dos mortos.,"Моя семья была убита во время войны, и моя жена умерла от рака сразу после того, как погибшие начали ходить.",Ailem savaş sırasında öldürüldü ve eşim ölüler yürümeye başladıktan hemen sonra kanserden öldü.,战争期间我的家人被杀，死者开始行走后，我的妻子死于癌症。,戰爭期間我的家人被殺，死者開始行走後，我的妻子死於癌症。
dialog_rogues_statement_fed_flesh_drank_blood,Quest,Dialogs,,,I was fed on flesh and drank blood. Even as a prattling babe. What is a life? It is nothing. It is the least sacred thing in existence. You know it and I know it.,,Ich wurde mit Fleisch gefüttert und trank Blut. Auch als Prattling Babe. Was ist ein Leben? Es ist nichts. Es ist das am wenigsten heilige Ding. Du weißt es und ich weiß es.,Fui alimentado con carne y bebí sangre. Incluso como una nena de parpadeo. ¿Qué es una vida? No es nada. Es la cosa menos sagrada que existe. Lo sabes y lo sé.,J'étais nourri de chair et j'ai bu du sang. Même en tant que bébé en train de brouiller. Qu'est-ce qu'une vie? Ce n'est rien. C'est la chose la moins sacrée qui existe. Tu le sais et je le sais.,Sono stato nutrito di carne e ho bevuto sangue. Anche come una ragazza praticante. Cos'è una vita? Non è niente. È la cosa meno sacra esistente. Lo sai e lo so.,私は肉を食べて血を飲みました。プラットのベイビーとしてでさえ。人生とは何ですか？それは何もありません。それは存在する最も神聖なものです。あなたはそれを知っていて、私はそれを知っています。,"나는 살을 먹고 피를 마셨다. 프랫을하는 아기로도. 인생이란 무엇입니까? 아무것도 아니다. 그것은 존재하는 가장 신성한 것입니다. 당신은 그것을 알고, 나는 그것을 알고 있습니다.",Karmiłem się ciałem i piłem krew. Nawet jako gracza. Co to jest życie? To nic nie znaczy. Jest to najmniej święta rzecz. Wiesz o tym i wiem.,Eu fui alimentado com carne e bebi sangue. Mesmo como um bebê brincalhão. O que é uma vida? Não é nada. É a coisa menos sagrada na existência. Você sabe e eu sei disso.,"Меня кормили на плоти и пил кровь. Даже как брюшная малышка. Что такое жизнь? Ничего. Это наименее священная вещь в существовании. Вы знаете это, и я это знаю.",Ben etle beslendim ve kan içtim. Prattling bir bebek olarak bile. Hayat nedir? Hiçbir şey. Var olan en az kutsal şeydir. Biliyorsun ve biliyorum.,我被肉体喂食，喝了血。即使是一个狂热的宝贝。什么是生活？没什么。这是现有的最不神圣的事情。你知道，我知道。,我被肉體餵食，喝了血。即使是一個狂熱的寶貝。什麼是生活？沒什麼。這是現有的最不神聖的事情。你知道，我知道。
dialog_rogues_statement_flame_hearts_extinguished,Quest,Dialogs,,,"I am mean: that means that I need the suffering of others to exist. A flame. A flame in their hearts. When I am all alone, I am extinguished.",,"Ich bin gemein: Das bedeutet, dass ich das Leiden anderer brauche, um zu existieren. Eine Flamme. Eine Flamme in ihren Herzen. Wenn ich ganz alleine bin, werde ich gelöscht.","Me refiero: eso significa que necesito que el sufrimiento de los demás exista. Una llama. Una llama en sus corazones. Cuando estoy solo, estoy extinguido.","Je suis méchant: cela signifie que j'ai besoin que la souffrance des autres existe. Une flamme. Une flamme dans leur cœur. Quand je suis tout seul, je suis éteint.","Sono cattivo: ciò significa che ho bisogno della sofferenza degli altri. Una fiamma. Una fiamma nei loro cuori. Quando sono tutto solo, mi estinto.",私は意味があります：それは私が他の人の苦しみが存在する必要があることを意味します。炎。彼らの心の炎。私が一人でいるとき、私は消滅します。,"나는 의미합니다. 그것은 다른 사람들의 고통이 존재해야한다는 것을 의미합니다. 불꽃. 그들의 마음에 불꽃. 내가 혼자있을 때, 나는 소멸되었습니다.","Mam na myśli: oznacza to, że potrzebuję cierpienia innych. Płomień. Płomień w ich sercach. Kiedy jestem sam, zgasę.","Quero dizer: isso significa que preciso do sofrimento dos outros para existir. Uma chama. Uma chama em seus corações. Quando estou sozinho, estou extinto.","Я имею в виду: это означает, что мне нужны страдания других, чтобы существовать. Пламя. Пламя в их сердцах. Когда я совсем один, я погас.","Demek istediğim: Bu, başkalarının acılarına ihtiyacım olduğu anlamına geliyor. Bir alev. Kalplerinde bir alev. Ben yalnız olduğumda söndürüldüm.",我的意思是：这意味着我需要他人的苦难。火焰。他们心中的火焰。当我一个人一个人时，我被扑灭了。,我的意思是：這意味著我需要他人的苦難。火焰。他們心中的火焰。當我一個人一個人時，我被撲滅了。
dialog_rogues_statement_gave_up_love_all_die,Quest,Dialogs,,,"I gave up love and happiness. In the end, we all die, and nothing really matters.",,Ich gab Liebe und Glück auf. Am Ende sterben wir alle und nichts ist wirklich wichtig.,"Renuncié al amor y la felicidad. Al final, todos morimos, y nada realmente importa.","J'ai abandonné l'amour et le bonheur. En fin de compte, nous mourons tous, et rien n'a vraiment d'importance.","Ho rinunciato all'amore e alla felicità. Alla fine, moriamo tutti e niente conta davvero.",私は愛と幸せをあきらめました。最終的に、私たちは皆死に、本当に重要なことはありません。,"나는 사랑과 행복을 포기했다. 결국, 우리 모두는 죽고 실제로 아무것도 중요하지 않습니다.",Zrezygnowałem z miłości i szczęścia. W końcu wszyscy umieramy i nic tak naprawdę nie ma znaczenia.,"Eu desisti de amor e felicidade. No final, todos morremos, e nada realmente importa.","Я отказался от любви и счастья. В конце концов, мы все умираем, и ничего не имеет значения.",Sevgi ve mutluluktan vazgeçtim. Sonunda hepimiz ölüyoruz ve hiçbir şey gerçekten önemli değil.,我放弃了爱与幸福。最后，我们都死了，没有什么真正重要的。,我放棄了愛與幸福。最後，我們都死了，沒有什麼真正重要的。
dialog_rogues_statement_heart_without_tenderness,Quest,Dialogs,,,A heart that is without tenderness of mercy alone can inhabit a body able to endure and to suffer all.,,"Ein Herz, das ohne Zärtlichkeit der Barmherzigkeit allein ist, kann einen Körper bewohnen, der in der Lage ist, alles zu ertragen und zu leiden.",Un corazón que no tiene ternura de la misericordia puede habitar un cuerpo capaz de soportar y sufrir todo.,Un cœur sans tendresse de miséricorde seul peut habiter un corps capable de supporter et de tout souffrir.,Un cuore che è senza tenerezza di misericordia può abitare un corpo in grado di sopportare e soffrire tutto.,慈悲だけの優しさのない心は、耐えられ、すべてに苦しむことができる体に生息することができます。,자비의 부드러움이없는 마음은 몸을 견딜 수 있고 모두 고통받을 수있는 몸에 거주 할 수 있습니다.,Serce bez delikatności miłosierdzia może zamieszkać ciało zdolne do przetrwania i cierpienia.,Um coração que é sem ternura da misericórdia sozinho pode habitar um corpo capaz de suportar e sofrer tudo.,"Сердце, которое не имеет только нежности, может населять тело, способное терпеть и страдать от всех.","Sadece merhamet hassasiyeti olmayan bir kalp, katlanabilen ve herkesi acı çekebilecek bir beden yaşayabilir.",一个没有怜悯的心脏可以居住在一个能够忍受和遭受一切的身体。,一個沒有憐憫的心臟可以居住在一個能夠忍受和遭受一切的身體。
dialog_rogues_statement_husband_eaten_best,Quest,Dialogs,,,My husband was eaten during the first Blood Moon. It was the best thing that ever happened to me.,,"Mein Mann wurde während des ersten Blutmondes gegessen. Es war das Beste, was mir jemals passiert ist.",Mi esposo fue comido durante la primera luna de sangre. Fue lo mejor que me ha pasado.,Mon mari a été mangé pendant la première lune de sang. C'était la meilleure chose qui me soit arrivée.,Mio marito è stato mangiato durante la prima luna di sangue. È stata la cosa migliore che mi sia mai capitata.,私の夫は最初の血の月に食べられました。それは私にこれまでに起こった最高のことでした。,남편은 첫 번째 블러드 달 동안 먹었습니다. 나에게 일어난 가장 좋은 일이었습니다.,"Mój mąż został zjedzony podczas pierwszego księżyca krwi. To była najlepsza rzecz, jaka mi się przydarzyła.",Meu marido foi comido durante a primeira lua de sangue. Foi a melhor coisa que já aconteceu comigo.,"Моего мужа съели во время первой кровавой луны. Это было лучшее, что когда -либо случалось со мной.",Kocam ilk Blood Moon sırasında yendi. Bana olan en iyi şeydi.,我丈夫在第一个血月期间被吃掉。这是我发生过的最好的事情。,我丈夫在第一個血月期間被吃掉。這是我發生過的最好的事情。
dialog_rogues_statement_lets_talk_not_interested,Quest,Dialogs,,,I'm not interested.,,Ich bin nicht interessiert.,No me interesa.,Je ne suis pas intéressé.,Non sono interessato.,興味ないです。,난 관심 없어.,Nie jestem zainteresowany.,Eu não estou interessado.,Мне это не интересно.,İlgilenmiyorum.,我没兴趣。,我沒興趣。
dialog_rogues_statement_lets_talk_what_to_know,Quest,Dialogs,,,What do you want to know?,,Was möchtest du wissen?,¿Que quieres saber?,Que veux-tu savoir?,Cosa vuoi sapere?,何を知りたいですか？,무엇을 알고 싶습니까?,Co chcesz wiedzieć?,O que você quer saber?,Что ты хочешь узнать?,Ne bilmek istiyorsun?,你想知道什么？,你想知道什麼？
dialog_rogues_statement_life_edge_of_death_choose_burn,Quest,Dialogs,,,"Life is always on the edge of death; narrow streets lead to the same place as wide avenues, and a little candle burns itself out just like a flaming torch does. I choose my own way to burn.",,"Das Leben ist immer am Rande des Todes; Schmale Straßen führen zu dem gleichen Ort wie breite Wege, und eine kleine Kerze brennt wie eine flammende Fackel aus. Ich wähle meinen eigenen Weg zum Brennen.","La vida siempre está al borde de la muerte; Las calles estrechas conducen al mismo lugar que las amplias avenidas, y una pequeña vela se quema como lo hace una antorcha en llamas. Elijo mi propia forma de quemar.","La vie est toujours au bord de la mort; Des rues étroites mènent au même endroit que de larges avenues, et une petite bougie se brûle comme le fait une torche enflammée. Je choisis ma propre façon de brûler.",La vita è sempre ai margini della morte; Le strade strette portano allo stesso posto di ampie viali e una piccola candela si brucia proprio come fa una torcia fiammeggiante. Scegli il mio modo di bruciare.,人生は常に死の端にあります。狭い通りは広い道と同じ場所に通じており、燃えるようなトーチのように、小さなろうそくが燃え尽きます。私は自分の方法を燃やす方法を選びます。,삶은 항상 죽음의 가장자리에 있습니다. 좁은 거리는 넓은 길과 같은 장소로 이어지고 약간의 양초는 타오르는 횃불처럼 자체적으로 불타고 있습니다. 나는 내 자신의 태워를 선택합니다.,"Życie jest zawsze na skraju śmierci; Wąskie ulice prowadzą do tego samego miejsca, co szerokie możliwości, a trochę świecy spala się tak jak płonąca pochodnia. Wybieram własny sposób na spalenie.","A vida está sempre à beira da morte; Ruas estreitas levam ao mesmo lugar que as avenidas largas, e uma pequena vela queimga como uma tocha flamejante. Eu escolho minha própria maneira de queimar.","Жизнь всегда на грани смерти; Узкие улицы ведут в то же место, что и широкие проспекты, и небольшая свеча сжигает себя, как и пылающая факел. Я выбираю свой собственный способ гореть.",Hayat her zaman ölümün kenarındadır; Dar sokaklar geniş caddelerle aynı yere yol açar ve küçük bir mum tıpkı alevli bir meşale gibi yanar. Kendi yanma yolumu seçiyorum.,生活总是在死亡的边缘；狭窄的街道通往与宽阔的大道相同的位置，一小蜡烛像火炬一样燃烧着。我选择自己的燃烧方式。,生活總是在死亡的邊緣；狹窄的街道通往與寬闊的大道相同的位置，一小蠟燭像火炬一樣燃燒著。我選擇自己的燃燒方式。
dialog_rogues_statement_nothing_before_apocalypse,Quest,Dialogs,,,There was nothing before the apocalypse.,,Es gab nichts vor der Apokalypse.,No había nada antes del apocalipsis.,Il n'y avait rien avant l'apocalypse.,Non c'era niente prima dell'Apocalisse.,黙示録の前には何もありませんでした。,묵시록 전에는 아무것도 없었습니다.,Nie było nic przed apokalipsą.,Não havia nada antes do apocalipse.,До апокалипсиса не было ничего.,Kıyametten önce hiçbir şey yoktu.,启示录前什么都没有。,啟示錄前什麼都沒有。
dialog_rogues_statement_nunya,Quest,Dialogs,,,That is none of your business.,,Das geht dich nichts an.,Esto no es de tu incumbencia.,Ça ne te regarde pas.,Non sono affari tuoi.,それはあなたのビジネスではありません。,그것은 당신의 사업이 아닙니다.,To nie twoja sprawa.,Isso não é da sua conta.,Это не твое дело.,Bu seni ilgilendirmez.,这与您无关。,這與您無關。
dialog_rogues_statement_power_kill_control_life,Quest,Dialogs,,,"We've all got the power in our hands to kill. The ones who aren't afraid to use it, control life itself.",,"Wir haben alle die Kraft in unsere Hände, um zu töten. Diejenigen, die keine Angst haben, es zu benutzen, kontrollieren das Leben selbst.","Todos tenemos el poder en nuestras manos para matar. Los que no tienen miedo de usarlo, controlan la vida misma.","Nous avons tous le pouvoir entre nos mains pour tuer. Ceux qui n'ont pas peur de l'utiliser, contrôlent la vie elle-même.","Abbiamo tutti il ​​potere in mano per uccidere. Quelli che non hanno paura di usarlo, controllano la vita stessa.",私たちは皆、殺すために手に力を持っています。それを使用することを恐れていない人は、人生そのものをコントロールします。,우리는 모두 죽일 힘을 가지고 있습니다. 그것을 사용하는 것을 두려워하지 않는 사람들은 삶 자체를 통제합니다.,"Wszyscy mamy moc w rękach, aby zabić. Ci, którzy nie boją się go używać, kontrolują same życie.","Todos nós temos o poder em nossas mãos para matar. Os que não têm medo de usá -lo, controlam a própria vida.","У всех нас есть сила в наших руках, чтобы убить. Те, кто не боятся использовать его, контролируют саму жизнь.","Hepimizin elimizde öldürme gücümüz var. Onu kullanmaktan korkmayanlar, hayatın kendisini kontrol eder.",我们所有人都掌握了杀死的力量。那些不怕使用它的人，控制生活本身。,我們所有人都掌握了殺死的力量。那些不怕使用它的人，控制生活本身。
dialog_rogues_statement_start,Quest,Dialogs,,,What do you want?,,Was willst du?,¿Qué quieres?,Qu'est-ce que tu veux?,Cosa vuoi?,なんでしょう？,당신은 무엇을 원하십니까?,Co chcesz?,O que você quer?,Что ты хочешь?,Ne istiyorsun?,你想要什么？,你想要什麼？
dialog_rogues_statement_they_didnt_make_it,Quest,Dialogs,,,They didn't make it.,,Sie haben es nicht geschafft.,No lo lograron.,Ils n'ont pas réussi.,Non ce l'hanno fatta.,彼らはそれを作りませんでした。,그들은 그것을 만들지 않았습니다.,Nie zrobili tego.,Eles não conseguiram.,Они этого не сделали.,Yapmadılar.,他们没有做到。,他們沒有做到。
dialog_rogues_statement_they_were_weak_didnt_survive,Quest,Dialogs,,,They were weak. They didn't survive.,,Sie waren schwach. Sie haben nicht überlebt.,Eran débiles. No sobrevivieron.,Ils étaient faibles. Ils n'ont pas survécu.,Erano deboli. Non sono sopravvissuti.,彼らは弱かった。彼らは生き残りませんでした。,그들은 약했습니다. 그들은 살아남지 못했습니다.,Byli słabi. Nie przeżyli.,Eles eram fracos. Eles não sobreviveram.,Они были слабы. Они не выжили.,Zayıflardı. Hayatta kalmadılar.,他们很虚弱。他们没有生存。,他們很虛弱。他們沒有生存。
dialog_rogues_statement_was_housewife,Quest,Dialogs,,,I was a housewife.,,Ich war Hausfrau.,Yo era una ama de casa.,J'étais femme au foyer.,Ero una casalinga.,私は主婦でした。,나는 주부였다.,Byłem gospodynią domową.,Eu era dona de casa.,Я была домохозяйкой.,Ben bir ev hanımıydı.,我是一个家庭主妇。,我是一個家庭主婦。
dialog_rogues_statement_was_teacher,Quest,Dialogs,,,I was a high school teacher.,,Ich war Highschool -Lehrer.,Yo era profesor de secundaria.,J'étais professeur de lycée.,Ero un insegnante di liceo.,私は高校の先生でした。,나는 고등학교 교사였습니다.,Byłem nauczycielem w szkole średniej.,Eu era um professor do ensino médio.,Я был учителем средней школы.,Ben bir lise öğretmeniydim.,我是一名高中老师。,我是一名高中老師。
RogueFemaleAgedKhzAK47,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzAShotgun,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzAxe,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzBat,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzClub,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzDPistol,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzHRifle,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzKnife,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzLBow,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzM60,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzMachete,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzPipeMG,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzPipePistol,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzPipeRifle,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzPipeShotgun,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
RogueFemaleAgedKhzPistol,entityclasses,Entity,,,Rogue,,Schurke,Malviviente,Voyou,Furfante,ならず者,무뢰한,Zakapior,Marginal,Отморозок,Haydut,流氓,流氓
