Key,File,Type,UsedInMainMenu,NoTranslate,english,russian
quest_fetch_clear_response2,Quest,Quest Info,,,Fetch / Clear [fef580]T2 POI ([DECEA3]{poi.distance} {poi.direction}[-])  [ea899a]{poi.name}[-],[[fef580]ЗОНА II[-]] Принести ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_fetch_clear_response3,Quest,Quest Info,,,Fetch / Clear [ff8800]T3 POI ([DECEA3]{poi.distance} {poi.direction}[-])  [ea899a]{poi.name}[-],[[ff8800]ЗОНА III[-]] Принести ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_fetch_clear_response4,Quest,Quest Info,,,Fetch / Clear [c4342d]T4 POI ([DECEA3]{poi.distance} {poi.direction}[-])  [ea899a]{poi.name}[-],[[c4342d]ЗОНА IV[-]] Принести ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_fetch_clear_response5,Quest,Quest Info,,,Fetch / Clear [66033c]T5 POI ([DECEA3]{poi.distance} {poi.direction}[-])  [ea899a]{poi.name}[-],[[66033c]ЗОНА V[-]] Принести ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_fetch_response1,Quest,Quest Info,,,Fetch [7eb293]T1 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-],[[7eb293]ЗОНА I[-]] Принести ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_fetch_response2,Quest,Quest Info,,,Fetch [fef580]T2 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-],[[fef580]ЗОНА II[-]] Принести ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_fetch_response3,Quest,Quest Info,,,Fetch [ff8800]T3 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-],[[ff8800]ЗОНА III[-]] Принести ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_fetch_response4,Quest,Quest Info,,,Fetch [c4342d]T4 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-],[[c4342d]ЗОНА IV[-]] Принести ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_fetch_response5,Quest,Quest Info,,,Fetch [66033c]T5 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-],[[66033c]ЗОНА V[-]] Принести ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_next_trader_description,Quest,Quest Info,,,Head to [DECEA3]{goto.name}[-] and open a new trade route.,Направляйтесь в [DECEA3]{goto.name}[-] и откройте новый торговый маршрут.
quest_next_trader_response,Quest,Quest Info,,,Opening Trade Routes ([DECEA3]{goto.distance} {goto.direction}[-]),Открытие торговых маршрутов ([DECEA3]{goto.distance} {goto.direction}[-])
quest_restore_power_response2,Quest,Quest Info,,,[ff0000][Night Only][-] Restore Power [fef580]T2 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-],[ff0000][Ночью][-] [[fef580]ЗОНА II[-]] Восстановите питание ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_restore_power_response3,Quest,Quest Info,,,[ff0000][Night Only][-] Restore Power [ff8800]T3 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-],[ff0000][Ночью][-] [[ff8800]ЗОНА III[-]] Восстановите питание ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_restore_power_response4,Quest,Quest Info,,,[ff0000][Night Only][-] Restore Power [c4342d]T4 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-],[ff0000][Ночью][-] [[c4342d]ЗОНА IV[-]] Восстановите питание ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_infestation_response1,Quest,Quest Info,,,Infested Clear [7eb293]T1 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-],[[7eb293]ЗОНА I[-]] Нашествие ликвидировано ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_infestation_response2,Quest,Quest Info,,,Infested Clear [fef580]T2 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-],[[fef580]ЗОНА II[-]] Нашествие ликвидировано ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_infestation_response3,Quest,Quest Info,,,Infested Clear [ff8800]T3 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-],[[ff8800]ЗОНА III[-]] Нашествие ликвидировано ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_infestation_response4,Quest,Quest Info,,,Infested Clear [c4342d]T4 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-],[[c4342d]ЗОНА IV[-]] Нашествие ликвидировано ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
quest_infestation_response5,Quest,Quest Info,,,Infested Clear [66033c]T5 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-],[[66033c]ЗОНА V[-]] Нашествие ликвидировано ([ea899a]{poi.name}[-] - [DECEA3]{poi.distance} {poi.direction}[-])
