Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
civilianNPCTestFemaleKhzAK47,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzTRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzHRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzSRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzXBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzLBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzRocketL,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestMaleKhzClub,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzKnife,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzBat,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzMachete,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzAxe,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzSpear,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzSMG,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzM60,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzPistol,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzDPistol,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzAK47,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzTRifle,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzHRifle,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzSRifle,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzLBow,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzXBow,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCTestMaleKhzRocketL,entityclasses,Entity,,,Civilian,,Zivilist,civil,civil,civile,民間人,일반 민간인,cywil,civil,гражданское лицо,sivil,平民,平民,civil
civilianNPCFemaleAgedKhzClub,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzKnife,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzAxe,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzSpear,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzBat,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzMachete,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzSMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzM60,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzDPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzAK47,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzTRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzHRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzSRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzXBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzLBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleAgedKhzRocketL,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzClub,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzKnife,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzAxe,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzSpear,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzBat,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzMachete,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzSMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzM60,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzDPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzAK47,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzTRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzHRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzSRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzXBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzLBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleScrubsKhzRocketL,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzClub,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzKnife,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzAxe,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzSpear,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzBat,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzMachete,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzSMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzM60,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzDPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzAK47,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzTRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzHRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzSRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzXBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzLBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung1KhzRocketL,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzClub,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzKnife,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzAxe,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzSpear,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzBat,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzMachete,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzSMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzM60,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzDPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzAK47,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzTRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzPipeRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzHRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzSRifle,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzPipeShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzPShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzAShotgun,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzXBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzLBow,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCFemaleYoung2KhzRocketL,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
